"Nombre del anuncio",Día,Alcance,Impresiones,Frecuencia,Compras,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Costo por compra","Inicio del informe","Fin del informe"
"Video parejas amor",2025-08-06,133,146,1.09774436,,CLP,220,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.05479452,73.33333333,1506.84931507,,,60,3,1,,,,,2025-08-06,2025-08-06
"Video flo",2025-08-06,665,769,1.15639098,,CLP,1013,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,5.5916775,23.55813953,1317.29518856,,,176,110,82,67,59,56,,2025-08-06,2025-08-06
"Video explicando servicio corto",2025-08-06,4,4,1,,CLP,3,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,750,,,1,,,,,,,2025-08-06,2025-08-06
"Video Lluvia",2025-08-06,411,554,1.34793187,,CLP,1027,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,1.98555957,93.36363636,1853.79061372,,,75,14,5,5,5,5,,2025-08-06,2025-08-06
"Video Lluvia Reseña",2025-08-06,317,487,1.5362776,,CLP,1161,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,2.05338809,116.1,2383.9835729,,,97,11,7,2,1,1,,2025-08-06,2025-08-06
"Video Lluvia",2025-08-06,329,433,1.31610942,,CLP,899,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,1.61662818,128.42857143,2076.21247113,,,61,10,8,3,3,3,,2025-08-06,2025-08-06
"Video parejas amor",2025-08-06,492,545,1.10772358,,CLP,824,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,1.83486239,82.4,1511.9266055,,,172,12,5,3,3,1,,2025-08-06,2025-08-06
"Video explicando servicio corto",2025-08-06,1414,1486,1.05091938,,CLP,1485,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",23,3.76850606,26.51785714,999.32705249,2,742.5,455,308,216,138,65,58,,2025-08-06,2025-08-06
"Video flo",2025-08-05,608,749,1.23190789,,CLP,976,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,5.74098798,22.69767442,1303.07076101,,,194,130,98,69,56,54,,2025-08-05,2025-08-05
"Video explicando servicio corto",2025-08-05,1777,1982,1.11536297,,CLP,2115,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",36,4.28859738,24.88235294,1067.10393542,,,638,460,336,214,93,78,,2025-08-05,2025-08-05
"Video Lluvia",2025-08-05,397,523,1.31738035,,CLP,1023,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.48565966,78.69230769,1956.02294455,,,83,15,6,5,2,2,,2025-08-05,2025-08-05
"Video explicando servicio corto",2025-08-05,2,2,1,,CLP,2,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1000,,,,,,,,,,2025-08-05,2025-08-05
"Video parejas amor",2025-08-05,1102,1329,1.20598911,,CLP,2025,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,2.33258089,65.32258065,1523.7020316,,,452,41,15,12,9,6,,2025-08-05,2025-08-05
"Video Lluvia",2025-08-05,448,617,1.37723214,,CLP,1014,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,2.43111831,67.6,1643.43598055,,,104,13,6,3,2,2,,2025-08-05,2025-08-05
"Video explicando servicio corto",2025-08-05,515,579,1.12427184,,CLP,805,"7 días tras clic o 1 día tras visualización",12,5.00863558,27.75862069,1390.32815199,,,178,124,83,58,30,27,,2025-08-05,2025-08-05
"Video Viral TikTok",2025-08-05,1100,1342,1.22,,CLP,1489,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,1.71385991,64.73913043,1109.53800298,,,325,56,22,14,8,7,,2025-08-05,2025-08-05
"Video Martin gallardo",2025-08-05,990,1128,1.13939394,,CLP,1486,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",17,3.0141844,43.70588235,1317.37588652,,,307,169,138,107,90,73,,2025-08-05,2025-08-05
"Video Explicando servicio corto",2025-08-05,817,875,1.07099143,,CLP,1002,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,3.54285714,32.32258065,1145.14285714,3,334,248,106,72,49,28,20,,2025-08-05,2025-08-05
"Video parejas amor",2025-08-05,120,135,1.125,,CLP,249,"7 días tras clic o 1 día tras visualización",1,7.40740741,24.9,1844.44444444,,,56,4,1,,,,,2025-08-05,2025-08-05
"Video Lluvia",2025-08-05,6,6,1,,CLP,13,"7 días tras clic o 1 día tras visualización",,0,0,2166.66666667,,,1,,,,,,,2025-08-05,2025-08-05
"Video Lluvia Reseña",2025-08-05,398,605,1.5201005,,CLP,961,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,2.14876033,73.92307692,1588.42975207,,,127,19,5,2,2,2,,2025-08-05,2025-08-05
"Video explicando servicio corto",2025-08-05,4,4,1,,CLP,3,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,750,,,,,,,,,,2025-08-05,2025-08-05
"Video Lluvia",2025-08-05,151,181,1.1986755,,CLP,370,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,4.97237569,41.11111111,2044.19889503,,,28,6,,,,,,2025-08-05,2025-08-05
"Video parejas amor",2025-08-05,1112,1289,1.15917266,,CLP,1989,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,3.10318076,49.725,1543.05663305,,,457,40,11,7,3,3,,2025-08-05,2025-08-05
"Video explicando servicio corto",2025-08-04,338,357,1.05621302,,CLP,379,"7 días tras clic o 1 día tras visualización",5,3.92156863,27.07142857,1061.62464986,,,108,83,56,34,17,15,,2025-08-04,2025-08-04
"Video parejas amor",2025-08-04,1256,1487,1.1839172,,CLP,1996,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.48823134,53.94594595,1342.29993275,,,543,45,15,8,6,3,,2025-08-04,2025-08-04
"Video Lluvia",2025-08-04,484,603,1.24586777,,CLP,1173,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,1.49253731,130.33333333,1945.27363184,,,106,21,10,8,5,5,,2025-08-04,2025-08-04
"Video Lluvia",2025-08-04,30,34,1.13333333,,CLP,22,"7 días tras clic o 1 día tras visualización",,0,0,647.05882353,,,3,,,,,,,2025-08-04,2025-08-04
"Video Lluvia",2025-08-04,840,1016,1.20952381,,CLP,1728,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,3.1496063,54,1700.78740157,,,230,27,6,4,4,3,,2025-08-04,2025-08-04
"Video explicando servicio corto",2025-08-04,186,191,1.02688172,,CLP,171,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,3.14136126,28.5,895.28795812,,,58,44,32,20,8,7,,2025-08-04,2025-08-04
"Video flo",2025-08-04,600,689,1.14833333,,CLP,1185,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,5.3701016,32.02702703,1719.8838897,,,180,117,95,75,65,64,,2025-08-04,2025-08-04
"Video parejas amor",2025-08-04,711,846,1.18987342,,CLP,1244,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",7,2.36406619,62.2,1470.44917258,,,319,38,15,11,9,7,,2025-08-04,2025-08-04
"Video explicando servicio corto",2025-08-04,575,595,1.03478261,,CLP,586,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,4.70588235,20.92857143,984.87394958,,,166,127,92,65,30,24,,2025-08-04,2025-08-04
"Video parejas amor",2025-08-04,262,313,1.19465649,,CLP,581,"7 días tras clic o 1 día tras visualización",2,3.19488818,58.1,1856.23003195,,,124,11,2,2,2,2,,2025-08-04,2025-08-04
"Video Explicando servicio corto",2025-08-04,1011,1144,1.13155292,,CLP,998,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",29,3.58391608,24.34146341,872.37762238,,,302,144,98,58,31,21,,2025-08-04,2025-08-04
"Video Lluvia Reseña",2025-08-04,503,728,1.4473161,,CLP,1179,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",7,1.78571429,90.69230769,1619.50549451,,,122,16,8,5,4,4,,2025-08-04,2025-08-04
"Video Martin gallardo",2025-08-04,1333,1507,1.13053263,,CLP,1657,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,3.38420703,32.49019608,1099.535501,,,383,231,196,153,125,104,,2025-08-04,2025-08-04
"Video Viral TikTok",2025-08-04,1203,1374,1.14214464,,CLP,1571,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",15,2.25618632,50.67741935,1143.37700146,,,336,53,23,15,13,6,,2025-08-04,2025-08-04
"Video Lluvia",2025-08-04,412,523,1.26941748,,CLP,1045,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,1.14722753,174.16666667,1998.08795411,,,85,15,3,2,1,1,,2025-08-04,2025-08-04
"Video flo",2025-08-03,792,981,1.23863636,,CLP,1219,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,4.17940877,29.73170732,1242.60958206,,,204,122,79,57,45,43,,2025-08-03,2025-08-03
"Video Lluvia",2025-08-03,713,902,1.26507714,,CLP,1537,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,3.76940133,45.20588235,1703.99113082,,,205,37,13,8,5,4,,2025-08-03,2025-08-03
"Video parejas amor",2025-08-03,36,41,1.13888889,,CLP,75,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,4.87804878,37.5,1829.26829268,,,20,3,,,,,,2025-08-03,2025-08-03
"Video parejas amor",2025-08-03,132,138,1.04545455,,CLP,169,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.89855072,42.25,1224.63768116,,,58,9,,,,,,2025-08-03,2025-08-03
"Video parejas amor",2025-08-03,54,57,1.05555556,,CLP,64,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,1.75438596,64,1122.80701754,,,16,1,1,,,,,2025-08-03,2025-08-03
"Video explicando servicio corto",2025-08-03,368,378,1.02717391,,CLP,297,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,2.64550265,29.7,785.71428571,,,122,94,67,41,18,17,,2025-08-03,2025-08-03
"Video Lluvia",2025-08-03,961,1100,1.144641,,CLP,1874,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",17,3.81818182,44.61904762,1703.63636364,,,242,37,13,10,7,7,,2025-08-03,2025-08-03
"Video explicando servicio corto",2025-08-03,522,533,1.0210728,,CLP,396,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,3.56472795,20.84210526,742.96435272,,,155,104,78,57,28,26,,2025-08-03,2025-08-03
"Video Lluvia",2025-08-03,71,79,1.11267606,,CLP,179,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,5.06329114,44.75,2265.82278481,,,17,2,2,1,1,,,2025-08-03,2025-08-03
"Video Explicando servicio corto",2025-08-03,1058,1201,1.13516068,,CLP,1160,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,3.83014155,25.2173913,965.86178185,,,327,142,98,74,35,18,,2025-08-03,2025-08-03
"Video explicando servicio corto",2025-08-03,2063,2379,1.15317499,,CLP,2288,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",39,3.53089533,27.23809524,961.74863388,,,743,516,348,236,113,105,,2025-08-03,2025-08-03
"Video Lluvia",2025-08-03,556,685,1.23201439,,CLP,1166,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,2.48175182,68.58823529,1702.18978102,,,112,18,8,6,5,5,,2025-08-03,2025-08-03
"Video parejas amor",2025-08-03,67,70,1.04477612,,CLP,91,"7 días tras clic o 1 día tras visualización",,1.42857143,91,1300,,,33,3,1,1,,,,2025-08-03,2025-08-03
"Video Lluvia Reseña",2025-08-03,455,705,1.54945055,,CLP,1100,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,1.9858156,78.57142857,1560.28368794,,,112,17,7,3,2,2,,2025-08-03,2025-08-03
"Video Martin gallardo",2025-08-03,1185,1300,1.09704641,,CLP,1610,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,3.07692308,40.25,1238.46153846,,,331,166,143,112,92,82,,2025-08-03,2025-08-03
"Video Lluvia",2025-08-03,165,191,1.15757576,,CLP,334,"7 días tras clic o 1 día tras visualización",2,2.61780105,66.8,1748.69109948,,,52,10,4,2,2,2,,2025-08-03,2025-08-03
"Video Viral TikTok",2025-08-03,1382,1579,1.14254703,,CLP,1579,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,2.78657378,35.88636364,1000,,,415,70,27,15,7,4,,2025-08-03,2025-08-03
"Video Lluvia",2025-08-03,481,624,1.2972973,,CLP,1161,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.56410256,72.5625,1860.57692308,,,113,18,5,1,,,,2025-08-03,2025-08-03
"Video explicando servicio corto",2025-08-03,628,670,1.06687898,,CLP,744,"7 días tras clic o 1 día tras visualización",9,4.32835821,25.65517241,1110.44776119,,,197,134,93,58,29,25,,2025-08-03,2025-08-03
"Video Lluvia Reseña",2025-08-02,507,764,1.50690335,,CLP,1450,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,2.09424084,90.625,1897.90575916,,,117,21,12,9,6,4,,2025-08-02,2025-08-02
"Video parejas amor",2025-08-02,1567,1870,1.19336311,,CLP,3431,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,2.99465241,61.26785714,1834.75935829,,,770,66,15,11,8,6,,2025-08-02,2025-08-02
"Video Martin gallardo",2025-08-02,1358,1524,1.12223859,,CLP,2196,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,2.75590551,52.28571429,1440.94488189,,,372,205,174,131,100,86,,2025-08-02,2025-08-02
"Video explicando servicio corto",2025-08-02,3178,3606,1.1346759,,CLP,3434,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",45,3.05047144,31.21818182,952.30171936,,,1065,711,513,315,167,151,,2025-08-02,2025-08-02
"Video Viral TikTok",2025-08-02,1420,1662,1.17042254,,CLP,2058,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",29,3.12876053,39.57692308,1238.26714801,,,412,80,35,25,16,7,,2025-08-02,2025-08-02
"Video parejas amor",2025-08-02,6,6,1,,CLP,8,"7 días tras clic o 1 día tras visualización",,0,0,1333.33333333,,,2,,,,,,,2025-08-02,2025-08-02
"Video flo",2025-08-02,749,926,1.23631509,,CLP,1442,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,5.07559395,30.68085106,1557.23542117,,,196,129,94,73,69,68,,2025-08-02,2025-08-02
"Video Lluvia",2025-08-02,517,679,1.31334623,,CLP,1299,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,2.50368189,76.41176471,1913.10751105,,,98,22,8,5,3,3,,2025-08-02,2025-08-02
"Video Lluvia",2025-08-02,414,526,1.2705314,,CLP,1299,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,2.28136882,108.25,2469.58174905,,,93,15,8,5,4,3,,2025-08-02,2025-08-02
"Video parejas amor",2025-08-02,1737,2135,1.22913069,,CLP,3435,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",34,2.85714286,56.31147541,1608.89929742,3,1145,787,82,24,14,11,10,,2025-08-02,2025-08-02
"Video Lluvia",2025-08-02,2,2,1,,CLP,3,"7 días tras clic o 1 día tras visualización",1,150,1,1500,,,2,1,,,,,,2025-08-02,2025-08-02
"Video Explicando servicio corto",2025-08-02,1119,1224,1.09383378,,CLP,1455,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,3.43137255,34.64285714,1188.7254902,,,377,154,91,66,33,19,,2025-08-02,2025-08-02
"Video explicando servicio corto",2025-08-02,1014,1148,1.1321499,,CLP,1283,"7 días tras clic o 1 día tras visualización",18,4.44250871,25.15686275,1117.59581882,,,325,221,151,105,53,48,,2025-08-02,2025-08-02
"Video explicando servicio corto",2025-08-02,1,1,1,,CLP,1,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1000,,,1,1,1,,,,,2025-08-02,2025-08-02
"Video Viral TikTok",2025-08-01,1746,2193,1.25601375,,CLP,2433,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,2.50797994,44.23636364,1109.43912449,,,563,93,45,27,15,10,,2025-08-01,2025-08-01
"Video Lluvia",2025-08-01,661,864,1.30711044,,CLP,1735,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,2.19907407,91.31578947,2008.10185185,,,137,16,6,5,4,4,,2025-08-01,2025-08-01
"Video explicando servicio corto",2025-08-01,3350,3781,1.12865672,,CLP,3435,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",64,3.78206824,24.02097902,908.48981751,,,1184,811,585,365,187,171,,2025-08-01,2025-08-01
"Video explicando servicio corto",2025-08-01,1102,1251,1.13520871,,CLP,1472,"7 días tras clic o 1 día tras visualización",20,4.39648281,26.76363636,1176.65867306,,,362,244,163,107,51,47,,2025-08-01,2025-08-01
"Video Lluvia",2025-08-01,754,1001,1.32758621,,CLP,1688,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,1.6983017,99.29411765,1686.31368631,,,130,20,10,5,4,3,,2025-08-01,2025-08-01
"Video parejas amor",2025-08-01,7,8,1.14285714,,CLP,23,"7 días tras clic o 1 día tras visualización",,0,0,2875,,,,,,,,,,2025-08-01,2025-08-01
"Video Lluvia Reseña",2025-08-01,517,727,1.40618956,,CLP,1701,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.20082531,106.3125,2339.75240715,,,138,33,15,13,10,9,,2025-08-01,2025-08-01
"Video Lluvia",2025-08-01,4,6,1.5,,CLP,20,"7 días tras clic o 1 día tras visualización",,0,0,3333.33333333,,,2,,,,,,,2025-08-01,2025-08-01
"Video parejas amor",2025-08-01,1487,1917,1.28917283,,CLP,3431,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.19092332,81.69047619,1789.77569118,,,728,68,13,10,9,6,,2025-08-01,2025-08-01
"Video parejas amor",2025-08-01,1630,2038,1.25030675,,CLP,3437,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",27,2.84592738,59.25862069,1686.45731109,3,1145.66666667,738,88,34,19,16,13,,2025-08-01,2025-08-01
"Video flo",2025-08-01,736,915,1.24320652,,CLP,1575,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,4.48087432,38.41463415,1721.31147541,,,208,128,93,75,63,59,,2025-08-01,2025-08-01
"Video Explicando servicio corto",2025-08-01,1392,1540,1.10632184,,CLP,1653,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",22,2.33766234,45.91666667,1073.37662338,,,490,197,114,81,40,28,,2025-08-01,2025-08-01
"Video Martin gallardo",2025-08-01,1487,1640,1.10289173,,CLP,2455,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,2.25609756,66.35135135,1496.95121951,,,404,219,174,140,121,103,,2025-08-01,2025-08-01
"Video explicando servicio corto",2025-07-31,786,931,1.18447837,,CLP,1574,"7 días tras clic o 1 día tras visualización",14,3.32975295,50.77419355,1690.65520945,,,243,164,119,80,35,33,,2025-07-31,2025-07-31
"Video parejas amor",2025-07-31,1279,1574,1.23064894,,CLP,2963,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",23,2.98602287,63.04255319,1882.46505718,,,499,48,22,18,15,10,,2025-07-31,2025-07-31
"Video Lluvia",2025-07-31,8,13,1.625,,CLP,46,"7 días tras clic o 1 día tras visualización",,0,0,3538.46153846,,,3,,,,,,,2025-07-31,2025-07-31
"Video explicando servicio corto",2025-07-31,1704,2062,1.2100939,,CLP,2720,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,2.27934045,57.87234043,1319.10766246,3,906.66666667,529,389,281,179,91,84,,2025-07-31,2025-07-31
"Video Lluvia",2025-07-31,18,18,1,,CLP,31,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1722.22222222,,,5,,,,,,,2025-07-31,2025-07-31
"Video flo",2025-07-31,568,669,1.1778169,,CLP,1483,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,5.68011958,39.02631579,2216.74140508,,,158,111,83,58,49,47,,2025-07-31,2025-07-31
"Video Explicando servicio corto",2025-07-31,928,1052,1.13362069,,CLP,1520,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",16,2.75665399,52.4137931,1444.86692015,,,299,115,72,52,23,16,,2025-07-31,2025-07-31
"Video Lluvia Reseña",2025-07-31,539,703,1.30426716,,CLP,1432,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.41820768,84.23529412,2036.98435277,,,109,20,10,5,5,4,,2025-07-31,2025-07-31
"Video Martin gallardo",2025-07-31,1294,1510,1.16692427,,CLP,2277,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,1.98675497,75.9,1507.94701987,,,414,221,176,132,91,75,,2025-07-31,2025-07-31
"Video Viral TikTok",2025-07-31,1569,1852,1.18036966,,CLP,2274,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,2.86177106,42.90566038,1227.86177106,2,1137,455,87,33,26,17,14,,2025-07-31,2025-07-31
"Video Lluvia",2025-07-31,734,960,1.30790191,,CLP,1544,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.5,64.33333333,1608.33333333,,,133,26,9,5,6,3,,2025-07-31,2025-07-31
"Video Lluvia",2025-07-31,538,704,1.30855019,,CLP,1486,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,0.85227273,247.66666667,2110.79545455,,,105,16,7,4,3,3,,2025-07-31,2025-07-31
