"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Región,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito",Compras,"Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-09,"Araucanía Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-09,"Antofagasta Region",2,2,1,CLP,5,"7 días tras clic o 1 día tras visualización",,0,0,2500,,,,1,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-09,"Los Ríos Region",1,1,1,CLP,5,"7 días tras clic o 1 día tras visualización",,0,0,5000,,,,1,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"Magallanes y la Antártica Chilena Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,1,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Bío Bío Region",96,107,1.11458333,CLP,120,"7 días tras clic o 1 día tras visualización",2,4.6728972,24,1121.4953271,,,,32,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"Los Lagos Region",2,2,1,CLP,4,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,2,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"O'Higgins Region",1,1,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,3000,,,,1,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"Bío Bío Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,1,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"Araucanía Region",4,4,1,CLP,10,"7 días tras clic o 1 día tras visualización",,0,0,2500,,,,2,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"Aysén Region",1,1,1,CLP,7,"7 días tras clic o 1 día tras visualización",,0,0,7000,,,,,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"Valparaíso Region",3,3,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,666.66666667,,,,1,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"Arica y Parinacota Region",1,1,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,3000,,,,1,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"Los Ríos Region",4,5,1.25,CLP,7,"7 días tras clic o 1 día tras visualización",,0,0,1400,,,,,,,,,,2025-07-09,2025-07-09
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-07-09,"Araucanía Region",41,42,1.02439024,CLP,105,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2500,,,,11,,,,,,2025-07-09,2025-07-09
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-07-09,"Los Ríos Region",1,1,1,CLP,1,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1000,,,,,,,,,,2025-07-09,2025-07-09
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Araucanía Region",2327,2687,1.15470563,CLP,4037,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",41,2.94008188,51.10126582,1502.41905471,,,,748,,,,,,2025-07-09,2025-07-09
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Los Ríos Region",56,60,1.07142857,CLP,72,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1200,,,,15,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Atacama Region",15,15,1,CLP,13,"7 días tras clic o 1 día tras visualización",,0,0,866.66666667,,,,4,,,,,,2025-07-09,2025-07-09
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-09,"Santiago Metropolitan Region",20,21,1.05,CLP,36,"7 días tras clic o 1 día tras visualización",,0,0,1714.28571429,,,,8,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Coquimbo Region",31,33,1.06451613,CLP,36,"7 días tras clic o 1 día tras visualización",,0,0,1090.90909091,,,,14,,,,,,2025-07-09,2025-07-09
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-07-09,"Araucanía Region",20,20,1,CLP,35,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1750,,,,5,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"O'Higgins Region",58,62,1.06896552,CLP,70,"7 días tras clic o 1 día tras visualización",4,11.29032258,10,1129.03225806,,,,23,,,,,,2025-07-09,2025-07-09
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-09,"Araucanía Region",1352,1775,1.31286982,CLP,4225,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,2.1971831,108.33333333,2380.28169014,,,,311,,,,,,2025-07-09,2025-07-09
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-09,"Los Ríos Region",17,22,1.29411765,CLP,47,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2136.36363636,,,,6,,,,,,2025-07-09,2025-07-09
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-09,"Santiago Metropolitan Region",4,4,1,CLP,10,"7 días tras clic o 1 día tras visualización",,0,0,2500,,,,,,,,,,2025-07-09,2025-07-09
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-09,"Los Lagos Region",3,3,1,CLP,3,"7 días tras clic o 1 día tras visualización",,33.33333333,3,1000,,,,1,,,,,,2025-07-09,2025-07-09
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-09,"Coquimbo Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-09,2025-07-09
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-09,"Bío Bío Region",1,1,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,3000,,,,,,,,,,2025-07-09,2025-07-09
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-09,"Atacama Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,,2025-07-09,2025-07-09
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-09,"Araucanía Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,,2025-07-09,2025-07-09
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-09,"Valparaíso Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-09,2025-07-09
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-09,"Los Ríos Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,,,,,,,2025-07-09,2025-07-09
"publico concepcion","Video Lluvia","campaña ventas HotBoat",2025-07-09,"Bío Bío Region",1,1,1,CLP,6,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,100,6,6000,,,,1,,,,,,2025-07-09,2025-07-09
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-09,"Los Ríos Region",85,99,1.16470588,CLP,95,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,959.5959596,,,,25,,,,,,2025-07-09,2025-07-09
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-07-09,"Bío Bío Region",4,4,1,CLP,7,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1750,,,,,,,,,,2025-07-09,2025-07-09
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-07-09,"Araucanía Region",4,4,1,CLP,5,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1250,,,,3,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Magallanes y la Antártica Chilena Region",15,16,1.06666667,CLP,6,"7 días tras clic o 1 día tras visualización",,0,0,375,,,,2,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Maule Region",77,82,1.06493506,CLP,82,"7 días tras clic o 1 día tras visualización",1,2.43902439,41,1000,,,,23,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Santiago Metropolitan Region",471,516,1.0955414,CLP,825,"7 días tras clic o 1 día tras visualización",3,3.29457364,48.52941176,1598.8372093,,,,147,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Tarapacá Region",14,16,1.14285714,CLP,49,"7 días tras clic o 1 día tras visualización",,6.25,49,3062.5,,,,5,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Los Lagos Region",146,158,1.08219178,CLP,175,"7 días tras clic o 1 día tras visualización",2,4.43037975,25,1107.59493671,,,,56,,,,,,2025-07-09,2025-07-09
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-07-09,"Araucanía Region",441,509,1.15419501,CLP,886,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,1.57170923,110.75,1740.66797642,,,,181,,,,,,2025-07-09,2025-07-09
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Los Ríos Region",1836,2008,1.09368192,CLP,1801,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,3.0876494,29.0483871,896.9123506,,,,622,,,,,,2025-07-09,2025-07-09
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Bío Bío Region",1255,1323,1.05418327,CLP,1229,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,3.7037037,25.08163265,928.94935752,,,,414,,,,,,2025-07-09,2025-07-09
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-07-09,"Bío Bío Region",300,300,1,CLP,473,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,4.66666667,33.78571429,1576.66666667,,,,102,,,,,,2025-07-09,2025-07-09
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-07-09,"Araucanía Region",996,1040,1.04417671,CLP,1060,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,5,20.38461538,1019.23076923,,,,327,,,,,,2025-07-09,2025-07-09
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Arica y Parinacota Region",12,14,1.16666667,CLP,15,"7 días tras clic o 1 día tras visualización",,0,0,1071.42857143,,,,5,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-08,"Magallanes y la Antártica Chilena Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,1,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-08,"Maule Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-08,"Santiago Metropolitan Region",8,8,1,CLP,14,"7 días tras clic o 1 día tras visualización",,0,0,1750,,,,4,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Los Ríos Region",66,80,1.21212121,CLP,61,"7 días tras clic o 1 día tras visualización",1,5,15.25,762.5,,,,15,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Antofagasta Region",68,75,1.10294118,CLP,76,"7 días tras clic o 1 día tras visualización",,1.33333333,76,1013.33333333,,,,18,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Valparaíso Region",118,129,1.09322034,CLP,120,"7 días tras clic o 1 día tras visualización",2,3.10077519,30,930.23255814,,,,36,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Aysén Region",18,18,1,CLP,13,"7 días tras clic o 1 día tras visualización",,0,0,722.22222222,,,,2,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Araucanía Region",94,103,1.09574468,CLP,195,"7 días tras clic o 1 día tras visualización",2,3.88349515,48.75,1893.2038835,,,,32,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Atacama Region",20,21,1.05,CLP,9,"7 días tras clic o 1 día tras visualización",,0,0,428.57142857,,,,9,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Bío Bío Region",116,140,1.20689655,CLP,162,"7 días tras clic o 1 día tras visualización",2,2.85714286,40.5,1157.14285714,,,,34,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-08,"Bío Bío Region",4,4,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,500,,,,3,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-08,"Los Lagos Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"Coquimbo Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-08,"Valparaíso Region",2,2,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"Santiago Metropolitan Region",13,13,1,CLP,34,"7 días tras clic o 1 día tras visualización",,0,0,2615.38461538,,,,5,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"Maule Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,1,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"Los Lagos Region",3,3,1,CLP,4,"7 días tras clic o 1 día tras visualización",,0,0,1333.33333333,,,,1,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"O'Higgins Region",3,4,1.33333333,CLP,10,"7 días tras clic o 1 día tras visualización",,0,0,2500,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"O'Higgins Region",71,80,1.12676056,CLP,81,"7 días tras clic o 1 día tras visualización",,1.25,81,1012.5,,,,26,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"Bío Bío Region",5,5,1,CLP,7,"7 días tras clic o 1 día tras visualización",,0,0,1400,,,,3,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"Antofagasta Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"Valparaíso Region",4,4,1,CLP,7,"7 días tras clic o 1 día tras visualización",,0,0,1750,,,,1,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"Arica y Parinacota Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,1,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"Los Ríos Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,,2025-07-08,2025-07-08
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Araucanía Region",3563,4091,1.14818973,CLP,4794,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",53,3.39770227,34.48920863,1171.84062576,,,,1060,,,,,,2025-07-08,2025-07-08
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Los Ríos Region",79,93,1.17721519,CLP,78,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,3.22580645,26,838.70967742,,,,31,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Coquimbo Region",40,44,1.1,CLP,57,"7 días tras clic o 1 día tras visualización",2,6.81818182,19,1295.45454545,,,,14,,,,,,2025-07-08,2025-07-08
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-08,"Araucanía Region",2,2,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Los Lagos Region",165,183,1.10909091,CLP,170,"7 días tras clic o 1 día tras visualización",2,3.27868852,28.33333333,928.96174863,,,,53,,,,,,2025-07-08,2025-07-08
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Araucanía Region",3,3,1,CLP,4,"7 días tras clic o 1 día tras visualización",,0,0,1333.33333333,,,,2,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Magallanes y la Antártica Chilena Region",28,29,1.03571429,CLP,18,"7 días tras clic o 1 día tras visualización",1,3.44827586,18,620.68965517,,,,9,,,,,,2025-07-08,2025-07-08
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-08,"Araucanía Region",2836,3216,1.13399154,CLP,4090,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",35,3.23383085,39.32692308,1271.76616915,,,,900,,,,,,2025-07-08,2025-07-08
"publico pucon 1","Video Viral TikTok","campaña ventas HotBoat - Lluvia",2025-07-08,"Los Ríos Region",82,98,1.19512195,CLP,74,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.04081633,37,755.10204082,,,,24,,,,,,2025-07-08,2025-07-08
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-08,"Araucanía Region",1413,1845,1.30573248,CLP,4016,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",17,2.11382114,102.97435897,2176.69376694,,,,317,,,,,,2025-07-08,2025-07-08
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-07-08,"Los Ríos Region",24,26,1.08333333,CLP,45,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,7.69230769,22.5,1730.76923077,,,,9,,,,,,2025-07-08,2025-07-08
"publico pucon 1","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Araucanía Region",19,20,1.05263158,CLP,33,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1650,,,,3,,,,,,2025-07-08,2025-07-08
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Tarapacá Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Santiago Metropolitan Region",18,18,1,CLP,29,"7 días tras clic o 1 día tras visualización",,0,0,1611.11111111,,,,5,,,,,,2025-07-08,2025-07-08
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Maule Region",2,2,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,1500,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Los Lagos Region",8,9,1.125,CLP,12,"7 días tras clic o 1 día tras visualización",1,11.11111111,12,1333.33333333,,,,5,,,,,,2025-07-08,2025-07-08
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-08,"O'Higgins Region",2,3,1.5,CLP,13,"7 días tras clic o 1 día tras visualización",,0,0,4333.33333333,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Bío Bío Region",6,6,1,CLP,7,"7 días tras clic o 1 día tras visualización",,16.66666667,7,1166.66666667,,,,1,,,,,,2025-07-08,2025-07-08
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Coquimbo Region",2,2,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,,2025-07-08,2025-07-08
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Antofagasta Region",2,2,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,500,,,,1,,,,,,2025-07-08,2025-07-08
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-07-08,"Araucanía Region",338,374,1.10650888,CLP,744,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,1.06951872,186,1989.30481283,,,,88,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Maule Region",93,102,1.09677419,CLP,81,"7 días tras clic o 1 día tras visualización",6,6.8627451,11.57142857,794.11764706,,,,30,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Santiago Metropolitan Region",504,540,1.07142857,CLP,725,"7 días tras clic o 1 día tras visualización",5,3.51851852,38.15789474,1342.59259259,,,,158,,,,,,2025-07-08,2025-07-08
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Tarapacá Region",27,29,1.07407407,CLP,26,"7 días tras clic o 1 día tras visualización",,3.44827586,26,896.55172414,,,,13,,,,,,2025-07-08,2025-07-08
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Araucanía Region",1939,2110,1.08818979,CLP,1775,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",29,3.88625592,21.64634146,841.23222749,,,,673,,,,,,2025-07-08,2025-07-08
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Los Ríos Region",2079,2258,1.08609909,CLP,1937,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,3.32152347,25.82666667,857.83879539,,,,692,,,,,,2025-07-08,2025-07-08
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Valparaíso Region",6,7,1.16666667,CLP,8,"7 días tras clic o 1 día tras visualización",,0,0,1142.85714286,,,,3,,,,,,2025-07-08,2025-07-08
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-07-08,"Bío Bío Region",2505,2725,1.08782435,CLP,2024,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",49,3.59633028,20.65306122,742.75229358,,,,836,,,,,,2025-07-08,2025-07-08
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Araucanía Region",122,129,1.05737705,CLP,169,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,1.5503876,84.5,1310.07751938,,,,24,,,,,,2025-07-08,2025-07-08
"publico concepcion","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Bío Bío Region",72,75,1.04166667,CLP,106,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,6.66666667,21.2,1413.33333333,,,,21,,,,,,2025-07-08,2025-07-08
"publico valdivia","Video Lluvia","campaña ventas HotBoat",2025-07-08,"Los Ríos Region",215,245,1.13953488,CLP,333,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,4.08163265,33.3,1359.18367347,,,,71,,,,,,2025-07-08,2025-07-08
