"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-07-01,512,572,1.1171875,CLP,2247,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,4.8951049,80.25,3928.32167832,,,205,35,8,6,4,3,2025-07-01,2025-07-01
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-07-01,1965,2468,1.25597964,CLP,3521,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",67,6.11831442,23.31788079,1426.66126418,,,812,654,478,343,193,177,2025-07-01,2025-07-01
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-07-01,6,6,1,CLP,10,"7 días tras clic o 1 día tras visualización",,0,0,1666.66666667,,,4,1,,,,,2025-07-01,2025-07-01
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-07-01,2,2,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,1500,,,1,,,,,,2025-07-01,2025-07-01
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-07-01,1903,2153,1.13137152,CLP,2151,"7 días tras clic o 1 día tras visualización",31,4.22666047,23.63736264,999.07106363,,,687,500,348,222,110,93,2025-07-01,2025-07-01
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-07-01,13,16,1.23076923,CLP,51,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,3187.5,,,2,1,,,,,2025-07-01,2025-07-01
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-07-01,2175,2427,1.11586207,CLP,2133,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",39,3.29625052,26.6625,878.86279357,,,765,547,385,269,135,122,2025-07-01,2025-07-01
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-07-01,2270,2473,1.08942731,CLP,2107,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",36,2.91144359,29.26388889,852.00161747,2,1053.5,749,525,386,225,106,95,2025-07-01,2025-07-01
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-07-01,977,1128,1.15455476,CLP,2604,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,3.0141844,76.58823529,2308.5106383,,,379,50,21,14,13,10,2025-07-01,2025-07-01
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-07-01,26,28,1.07692308,CLP,28,"7 días tras clic o 1 día tras visualización",1,3.57142857,28,1000,,,6,,,,,,2025-07-01,2025-07-01
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-30,122,139,1.13934426,CLP,225,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.87769784,56.25,1618.70503597,,,48,36,22,14,11,10,2025-06-30,2025-06-30
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-30,7,7,1,CLP,8,"7 días tras clic o 1 día tras visualización",,14.28571429,8,1142.85714286,,,5,,,,,,2025-06-30,2025-06-30
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-30,4,4,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,750,,,1,,,,,,2025-06-30,2025-06-30
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-30,1508,1671,1.10809019,CLP,1918,"7 días tras clic o 1 día tras visualización",48,6.46319569,17.75925926,1147.81567923,,,559,428,308,192,105,88,2025-06-30,2025-06-30
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-30,1097,1236,1.12670921,CLP,2276,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,3.15533981,58.35897436,1841.42394822,,,436,43,14,8,7,6,2025-06-30,2025-06-30
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-30,2138,2331,1.09027128,CLP,2005,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",42,3.9039039,22.03296703,860.14586015,,,821,601,436,288,142,129,2025-06-30,2025-06-30
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-30,2133,2275,1.0665729,CLP,2084,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",37,4.30769231,21.26530612,916.04395604,,,790,573,418,266,130,122,2025-06-30,2025-06-30
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-30,1752,2277,1.29965753,CLP,5447,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,2.10803689,113.47916667,2392.18269653,,,696,88,21,12,12,11,2025-06-30,2025-06-30
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-30,37,39,1.05405405,CLP,33,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.56410256,33,846.15384615,,,7,,,,,,2025-06-30,2025-06-30
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-30,21,22,1.04761905,CLP,63,"7 días tras clic o 1 día tras visualización",,4.54545455,63,2863.63636364,,,7,2,1,1,,,2025-06-30,2025-06-30
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-29,2077,2346,1.12951372,CLP,2035,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",39,4.21994885,20.55555556,867.43393009,,,828,595,431,285,153,132,2025-06-29,2025-06-29
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-29,248,308,1.24193548,CLP,437,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,2.92207792,48.55555556,1418.83116883,,,94,82,61,42,25,24,2025-06-29,2025-06-29
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-29,4,6,1.5,CLP,5,"7 días tras clic o 1 día tras visualización",,0,0,833.33333333,,,,,,,,,2025-06-29,2025-06-29
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-29,1540,1690,1.0974026,CLP,1747,"7 días tras clic o 1 día tras visualización",37,5.85798817,17.64646465,1033.72781065,,,612,451,317,209,119,110,2025-06-29,2025-06-29
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-29,1026,1203,1.17251462,CLP,2095,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,1.99501247,87.29166667,1741.47963425,,,382,39,10,5,3,3,2025-06-29,2025-06-29
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-29,2072,2349,1.13368726,CLP,2060,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",34,4.04427416,21.68421053,876.96892295,,,842,600,437,277,138,125,2025-06-29,2025-06-29
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-29,1795,2445,1.36211699,CLP,4971,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,2.00408998,101.44897959,2033.12883436,,,727,83,23,13,8,7,2025-06-29,2025-06-29
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-29,37,40,1.08108108,CLP,53,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1325,,,5,,,,,,2025-06-29,2025-06-29
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-29,10,12,1.2,CLP,11,"7 días tras clic o 1 día tras visualización",,0,0,916.66666667,,,5,1,,,,,2025-06-29,2025-06-29
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-28,1100,1215,1.10454545,CLP,1439,"7 días tras clic o 1 día tras visualización",22,4.36213992,27.1509434,1184.36213992,,,414,288,197,128,69,64,2025-06-28,2025-06-28
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-28,132,160,1.21212121,CLP,193,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,2.5,48.25,1206.25,,,49,42,30,23,14,13,2025-06-28,2025-06-28
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-28,3,3,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,666.66666667,,,2,,,,,,2025-06-28,2025-06-28
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-28,3,3,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,1,,,,,,2025-06-28,2025-06-28
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-28,905,1031,1.13922652,CLP,1696,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,2.71580989,60.57142857,1645.00484966,,,380,24,8,4,2,2,2025-06-28,2025-06-28
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-28,1430,1532,1.07132867,CLP,1503,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",41,5.54830287,17.68235294,981.07049608,,,559,397,283,196,119,100,2025-06-28,2025-06-28
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-28,1432,1557,1.0872905,CLP,1592,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,3.46820809,29.48148148,1022.47912653,,,555,388,278,166,78,71,2025-06-28,2025-06-28
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-28,1101,1524,1.38419619,CLP,3843,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,2.75590551,91.5,2521.65354331,,,490,49,17,8,6,5,2025-06-28,2025-06-28
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-28,29,31,1.06896552,CLP,37,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,3.22580645,37,1193.5483871,,,7,,,,,,2025-06-28,2025-06-28
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-28,14,16,1.14285714,CLP,30,"7 días tras clic o 1 día tras visualización",,0,0,1875,,,4,3,2,1,,,2025-06-28,2025-06-28
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-27,48,49,1.02083333,CLP,84,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,8.16326531,21,1714.28571429,,,19,2,2,1,1,1,2025-06-27,2025-06-27
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-27,1203,1392,1.15710723,CLP,2198,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",32,4.81321839,32.80597015,1579.02298851,,,474,377,262,179,105,90,2025-06-27,2025-06-27
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-27,11,11,1,CLP,20,"7 días tras clic o 1 día tras visualización",,0,0,1818.18181818,,,3,,,,,,2025-06-27,2025-06-27
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-27,31,35,1.12903226,CLP,93,"7 días tras clic o 1 día tras visualización",,2.85714286,93,2657.14285714,,,12,2,,,,,2025-06-27,2025-06-27
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-27,977,1073,1.09825998,CLP,1688,"7 días tras clic o 1 día tras visualización",19,5.03261883,31.25925926,1573.15936626,2,844,377,260,187,116,72,66,2025-06-27,2025-06-27
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-27,33,34,1.03030303,CLP,40,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,5.88235294,20,1176.47058824,,,16,1,,,,,2025-06-27,2025-06-27
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-27,522,593,1.13601533,CLP,1154,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,2.52951096,76.93333333,1946.03709949,,,213,25,11,9,7,6,2025-06-27,2025-06-27
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-27,956,1028,1.07531381,CLP,955,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",17,3.69649805,25.13157895,928.98832685,,,385,280,192,128,70,63,2025-06-27,2025-06-27
"publico valdivia","Video pareja dcto","campaña ventas HotBoat",2025-06-27,1,1,1,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,,,,,,,2025-06-27,2025-06-27
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-27,1426,1498,1.05049088,CLP,1333,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,4.33911883,20.50769231,889.85313752,,,567,402,281,188,104,95,2025-06-27,2025-06-27
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-27,34,34,1,CLP,47,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.94117647,47,1382.35294118,,,12,1,,,,,2025-06-27,2025-06-27
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-27,577,751,1.30155979,CLP,1987,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,2.52996005,104.57894737,2645.80559254,,,233,28,6,4,4,4,2025-06-27,2025-06-27
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-27,635,685,1.07874016,CLP,942,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.91970803,47.1,1375.18248175,,,178,20,7,3,3,1,2025-06-27,2025-06-27
"publico concepcion","Video Lluvia","campaña ventas HotBoat",2025-06-27,374,427,1.14171123,CLP,805,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,2.81030445,67.08333333,1885.24590164,,,137,22,9,3,1,,2025-06-27,2025-06-27
"publico valdivia","Video Lluvia","campaña ventas HotBoat",2025-06-27,686,819,1.19387755,CLP,1308,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,4.51770452,35.35135135,1597.06959707,,,222,36,20,12,9,9,2025-06-27,2025-06-27
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-27,288,333,1.15625,CLP,640,"7 días tras clic o 1 día tras visualización",3,4.5045045,42.66666667,1921.92192192,,,95,14,8,5,2,2,2025-06-27,2025-06-27
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-26,2590,3183,1.22895753,CLP,4431,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",94,5.87496073,23.69518717,1392.08294062,,,1087,848,634,435,249,227,2025-06-26,2025-06-26
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-26,37,39,1.05405405,CLP,49,"7 días tras clic o 1 día tras visualización",,5.12820513,24.5,1256.41025641,,,17,1,,,,,2025-06-26,2025-06-26
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-26,280,342,1.22142857,CLP,626,"7 días tras clic o 1 día tras visualización",5,3.80116959,48.15384615,1830.40935673,,,123,12,6,3,2,1,2025-06-26,2025-06-26
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-26,1240,1366,1.1016129,CLP,1137,"7 días tras clic o 1 día tras visualización",34,6.36896047,13.06896552,832.35724744,,,503,330,230,153,86,74,2025-06-26,2025-06-26
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-26,1150,1401,1.21826087,CLP,1979,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,2.78372591,50.74358974,1412.56245539,,,483,55,15,14,11,9,2025-06-26,2025-06-26
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-26,63,67,1.06349206,CLP,51,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,761.19402985,,,25,16,12,10,2,2,2025-06-26,2025-06-26
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-26,960,1166,1.21458333,CLP,1869,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,3.00171527,53.4,1602.91595197,,,412,43,10,4,2,2,2025-06-26,2025-06-26
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-26,957,1184,1.23719958,CLP,1905,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,2.53378378,63.5,1608.9527027,,,442,46,9,6,6,4,2025-06-26,2025-06-26
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-26,12,13,1.08333333,CLP,61,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,15.38461538,30.5,4692.30769231,,,4,,,,,,2025-06-26,2025-06-26
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-26,104,108,1.03846154,CLP,184,"7 días tras clic o 1 día tras visualización",1,2.77777778,61.33333333,1703.7037037,,,24,2,1,1,1,1,2025-06-26,2025-06-26
"publico pucon 1","Video Lluvia","campaña ventas HotBoat",2025-06-26,18,21,1.16666667,CLP,103,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,19.04761905,25.75,4904.76190476,,,7,1,,,,,2025-06-26,2025-06-26
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-25,1737,1894,1.09038572,CLP,1429,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",31,4.48785639,16.81176471,754.48785639,,,675,468,338,225,123,101,2025-06-25,2025-06-25
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-25,3178,4066,1.27942102,CLP,5861,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",91,4.99262174,28.87192118,1441.46581407,,,1307,1020,764,533,304,273,2025-06-25,2025-06-25
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-25,27,30,1.11111111,CLP,140,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,4666.66666667,,,11,1,,,,,2025-06-25,2025-06-25
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-25,331,409,1.23564955,CLP,865,"7 días tras clic o 1 día tras visualización",2,4.15647922,50.88235294,2114.91442543,,,150,17,6,2,2,2,2025-06-25,2025-06-25
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-25,55,63,1.14545455,CLP,154,"7 días tras clic o 1 día tras visualización",,0,0,2444.44444444,,,21,,,,,,2025-06-25,2025-06-25
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-25,762,835,1.09580052,CLP,797,"7 días tras clic o 1 día tras visualización",21,5.86826347,16.26530612,954.49101796,,,310,210,144,96,49,43,2025-06-25,2025-06-25
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-25,30,33,1.1,CLP,50,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,6.06060606,25,1515.15151515,,,13,1,,,,,2025-06-25,2025-06-25
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-25,391,431,1.10230179,CLP,559,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,2.55220418,50.81818182,1296.9837587,,,140,12,4,4,4,3,2025-06-25,2025-06-25
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-25,488,547,1.12090164,CLP,787,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,2.19378428,65.58333333,1438.75685558,,,216,17,7,6,3,3,2025-06-25,2025-06-25
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-25,52,55,1.05769231,CLP,86,"7 días tras clic o 1 día tras visualización",3,10.90909091,14.33333333,1563.63636364,,,6,3,2,2,2,2,2025-06-25,2025-06-25
"publico pucon 1","Video Lluvia","campaña ventas HotBoat",2025-06-25,5,5,1,CLP,6,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1200,,,,,,,,,2025-06-25,2025-06-25
"publico valdivia","Video pareja dcto","campaña ventas HotBoat",2025-06-25,691,823,1.1910275,CLP,1206,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.57958688,92.76923077,1465.37059538,,,259,26,7,2,1,1,2025-06-25,2025-06-25
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-25,3,4,1.33333333,CLP,9,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2250,,,3,,,,,,2025-06-25,2025-06-25
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-06-25,693,823,1.18759019,CLP,1402,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,2.67314702,63.72727273,1703.5236938,,,289,32,14,11,11,8,2025-06-25,2025-06-25
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-24,2139,2331,1.08976157,CLP,1713,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",36,5.01930502,14.64102564,734.87773488,,,865,623,450,309,162,153,2025-06-24,2025-06-24
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-24,2917,3476,1.19163524,CLP,3928,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",91,5.98388953,18.88461538,1130.03452244,2,1964,1239,972,689,495,272,242,2025-06-24,2025-06-24
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-24,188,214,1.13829787,CLP,295,"7 días tras clic o 1 día tras visualización",1,3.27102804,42.14285714,1378.5046729,,,89,13,3,1,1,,2025-06-24,2025-06-24
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-24,4,4,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,750,,,3,,,,,,2025-06-24,2025-06-24
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-24,343,411,1.19825073,CLP,778,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,2.43309002,77.8,1892.94403893,,,149,19,6,4,4,1,2025-06-24,2025-06-24
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-24,1398,1478,1.05722461,CLP,1428,"7 días tras clic o 1 día tras visualización",17,5.27740189,18.30769231,966.17050068,,,509,352,231,158,88,73,2025-06-24,2025-06-24
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-24,795,850,1.06918239,CLP,822,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,4.94117647,19.57142857,967.05882353,,,311,221,154,102,59,54,2025-06-24,2025-06-24
"publico valdivia","Video pareja dcto","campaña ventas HotBoat",2025-06-24,593,714,1.20404722,CLP,918,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,1.68067227,76.5,1285.71428571,,,274,33,7,4,3,2,2025-06-24,2025-06-24
