"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Región,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"O'Higgins Region",24,26,1.08333333,CLP,54,"7 días tras clic o 1 día tras visualización",,7.69230769,27,2076.92307692,,,7,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Santiago Metropolitan Region",149,161,1.08053691,CLP,393,"7 días tras clic o 1 día tras visualización",4,7.45341615,32.75,2440.99378882,,,62,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Tarapacá Region",7,8,1.14285714,CLP,5,"7 días tras clic o 1 día tras visualización",,,,625,,,3,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,Unknown,28,29,1.03571429,CLP,97,"7 días tras clic o 1 día tras visualización",,,,3344.82758621,,,5,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Valparaíso Region",49,52,1.06122449,CLP,59,"7 días tras clic o 1 día tras visualización",2,5.76923077,19.66666667,1134.61538462,,,24,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-19,"Los Lagos Region",1,1,1,CLP,,"7 días tras clic o 1 día tras visualización",,,,,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-19,"Santiago Metropolitan Region",2,3,1.5,CLP,15,"7 días tras clic o 1 día tras visualización",,,,5000,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Los Lagos Region",3,3,1,CLP,4,"7 días tras clic o 1 día tras visualización",,,,1333.33333333,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Maule Region",1,1,1,CLP,,"7 días tras clic o 1 día tras visualización",,,,,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Santiago Metropolitan Region",3,3,1,CLP,6,"7 días tras clic o 1 día tras visualización",,,,2000,,,2,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Valparaíso Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,,,1000,,,,,,,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Bío Bío Region",843,905,1.07354686,CLP,1224,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,3.20441989,42.20689655,1352.48618785,,,316,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",80,85,1.0625,CLP,133,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.35294118,66.5,1564.70588235,,,23,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",7,8,1.14285714,CLP,5,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,625,,,2,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",419,480,1.14558473,CLP,955,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,3.125,63.66666667,1989.58333333,,,135,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",6,7,1.16666667,CLP,15,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,14.28571429,15,2142.85714286,,,3,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-19,"Araucanía Region",9,16,1.77777778,CLP,19,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1187.5,,,1,,,,,,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",1022,1126,1.10176125,CLP,1082,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,3.64120782,26.3902439,960.92362345,,,359,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Araucanía Region",1367,1616,1.18215069,CLP,1905,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,4.76485149,24.74025974,1178.83663366,,,479,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Los Ríos Region",53,66,1.24528302,CLP,66,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,6.06060606,16.5,1000,,,20,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-18,"Araucanía Region",1,1,1,CLP,1,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Antofagasta Region",50,51,1.02,CLP,77,"7 días tras clic o 1 día tras visualización",,1.96078431,77,1509.80392157,,,18,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Araucanía Region",104,116,1.11538462,CLP,316,"7 días tras clic o 1 día tras visualización",3,5.17241379,52.66666667,2724.13793103,,,37,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Arica y Parinacota Region",7,7,1,CLP,5,"7 días tras clic o 1 día tras visualización",,,,714.28571429,,,3,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Atacama Region",9,10,1.11111111,CLP,11,"7 días tras clic o 1 día tras visualización",,,,1100,,,3,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Aysén Region",7,8,1.14285714,CLP,6,"7 días tras clic o 1 día tras visualización",,,,750,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Bío Bío Region",85,87,1.02352941,CLP,95,"7 días tras clic o 1 día tras visualización",2,2.29885057,47.5,1091.95402299,,,30,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Coquimbo Region",38,41,1.07894737,CLP,56,"7 días tras clic o 1 día tras visualización",,,,1365.85365854,,,13,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Los Lagos Region",119,140,1.17647059,CLP,108,"7 días tras clic o 1 día tras visualización",2,4.28571429,18,771.42857143,,,41,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Los Ríos Region",26,29,1.11538462,CLP,34,"7 días tras clic o 1 día tras visualización",,3.44827586,34,1172.4137931,,,5,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Magallanes y la Antártica Chilena Region",13,13,1,CLP,11,"7 días tras clic o 1 día tras visualización",1,7.69230769,11,846.15384615,,,3,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Maule Region",72,85,1.18055556,CLP,126,"7 días tras clic o 1 día tras visualización",1,4.70588235,31.5,1482.35294118,,,23,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"O'Higgins Region",53,55,1.03773585,CLP,91,"7 días tras clic o 1 día tras visualización",,1.81818182,91,1654.54545455,,,19,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Santiago Metropolitan Region",385,414,1.07532468,CLP,670,"7 días tras clic o 1 día tras visualización",9,5.79710145,27.91666667,1618.35748792,,,139,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Tarapacá Region",18,21,1.16666667,CLP,32,"7 días tras clic o 1 día tras visualización",,9.52380952,16,1523.80952381,,,9,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Valparaíso Region",97,111,1.1443299,CLP,121,"7 días tras clic o 1 día tras visualización",2,5.40540541,20.16666667,1090.09009009,,,29,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-18,"Los Ríos Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,,,2000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-18,"Araucanía Region",4,4,1,CLP,7,"7 días tras clic o 1 día tras visualización",,,,1750,,,2,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-18,"Atacama Region",1,1,1,CLP,4,"7 días tras clic o 1 día tras visualización",,,,4000,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-18,"Bío Bío Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,,,1000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-18,"Los Ríos Region",1,1,1,CLP,44,"7 días tras clic o 1 día tras visualización",,,,44000,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-18,"Santiago Metropolitan Region",2,2,1,CLP,1,"7 días tras clic o 1 día tras visualización",,,,500,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-18,"Valparaíso Region",2,2,1,CLP,4,"7 días tras clic o 1 día tras visualización",,50,4,2000,,,1,,,,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Bío Bío Region",1528,1671,1.09358639,CLP,1978,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",27,4.36864153,27.09589041,1183.72232196,,,577,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Araucanía Region",48,53,1.10416667,CLP,44,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,1.88679245,44,830.18867925,,,9,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Los Ríos Region",1,1,1,CLP,,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,,,,,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-18,"Araucanía Region",929,1137,1.22389666,CLP,1855,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",16,2.72647318,59.83870968,1631.48636763,,,320,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-18,"Los Ríos Region",13,15,1.15384615,CLP,26,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1733.33333333,,,3,,,,,,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Los Ríos Region",1626,1835,1.12853629,CLP,1942,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",35,4.19618529,25.22077922,1058.3106267,,,565,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Araucanía Region",1637,1910,1.16676848,CLP,2107,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",30,3.92670157,28.09333333,1103.14136126,,,583,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Los Ríos Region",68,75,1.10294118,CLP,44,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2.66666667,22,586.66666667,,,17,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-17,"Araucanía Region",2,3,1.5,CLP,5,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1666.66666667,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Antofagasta Region",76,79,1.03947368,CLP,99,"7 días tras clic o 1 día tras visualización",2,3.79746835,33,1253.16455696,,,35,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Araucanía Region",127,139,1.09448819,CLP,171,"7 días tras clic o 1 día tras visualización",4,6.47482014,19,1230.21582734,,,49,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Arica y Parinacota Region",8,8,1,CLP,17,"7 días tras clic o 1 día tras visualización",,,,2125,,,3,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Atacama Region",12,14,1.16666667,CLP,11,"7 días tras clic o 1 día tras visualización",,,,785.71428571,,,6,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Aysén Region",8,8,1,CLP,6,"7 días tras clic o 1 día tras visualización",,,,750,,,3,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Bío Bío Region",116,125,1.07758621,CLP,133,"7 días tras clic o 1 día tras visualización",5,6.4,16.625,1064,,,39,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Coquimbo Region",45,51,1.13333333,CLP,66,"7 días tras clic o 1 día tras visualización",1,3.92156863,33,1294.11764706,,,17,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Los Lagos Region",177,211,1.1920904,CLP,269,"7 días tras clic o 1 día tras visualización",6,7.58293839,16.8125,1274.88151659,,,71,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Los Ríos Region",40,42,1.05,CLP,38,"7 días tras clic o 1 día tras visualización",,,,904.76190476,,,18,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Magallanes y la Antártica Chilena Region",26,35,1.34615385,CLP,37,"7 días tras clic o 1 día tras visualización",2,8.57142857,12.33333333,1057.14285714,,,4,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Maule Region",113,120,1.0619469,CLP,93,"7 días tras clic o 1 día tras visualización",1,2.5,31,775,,,44,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"O'Higgins Region",75,79,1.05333333,CLP,84,"7 días tras clic o 1 día tras visualización",1,6.32911392,16.8,1063.29113924,,,19,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Santiago Metropolitan Region",493,531,1.07707911,CLP,887,"7 días tras clic o 1 día tras visualización",12,8.09792844,20.62790698,1670.43314501,,,201,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Tarapacá Region",18,21,1.16666667,CLP,17,"7 días tras clic o 1 día tras visualización",,9.52380952,8.5,809.52380952,,,11,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Valparaíso Region",140,156,1.11428571,CLP,135,"7 días tras clic o 1 día tras visualización",2,6.41025641,13.5,865.38461538,,,54,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-17,"Los Lagos Region",1,2,2,CLP,4,"7 días tras clic o 1 día tras visualización",,,,2000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-17,"Araucanía Region",1,1,1,CLP,,"7 días tras clic o 1 día tras visualización",,,,,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-17,"Bío Bío Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,,,1000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-17,"Los Lagos Region",5,7,1.4,CLP,7,"7 días tras clic o 1 día tras visualización",,,,1000,,,2,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-17,"Maule Region",4,4,1,CLP,2,"7 días tras clic o 1 día tras visualización",,,,500,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-17,"Santiago Metropolitan Region",4,6,1.5,CLP,13,"7 días tras clic o 1 día tras visualización",,,,2166.66666667,,,2,,,,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Bío Bío Region",2009,2200,1.09507218,CLP,2006,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",39,4.09090909,22.28888889,911.81818182,,,764,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Araucanía Region",40,48,1.2,CLP,52,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1083.33333333,,,16,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Los Ríos Region",2,2,1,CLP,2,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1000,,,,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-17,"Araucanía Region",1011,1260,1.2462908,CLP,2053,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,1.50793651,108.05263158,1629.36507937,,,358,,,,,,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-17,"Los Ríos Region",20,23,1.15,CLP,25,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,4.34782609,25,1086.95652174,,,8,,,,,,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-17,"Los Ríos Region",2078,2305,1.10923965,CLP,2079,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,4.38177874,20.58415842,901.95227766,,,791,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Araucanía Region",2031,2259,1.11225997,CLP,2112,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,4.47100487,20.91089109,934.92695883,,,653,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Los Ríos Region",64,66,1.03125,CLP,48,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,6.06060606,12,727.27272727,,,23,,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-16,"Araucanía Region",3,4,1.33333333,CLP,11,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,2750,,,1,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Antofagasta Region",70,72,1.02857143,CLP,118,"7 días tras clic o 1 día tras visualización",2,6.94444444,23.6,1638.88888889,,,23,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Araucanía Region",163,176,1.0797546,CLP,204,"7 días tras clic o 1 día tras visualización",4,10.22727273,11.33333333,1159.09090909,,,59,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Arica y Parinacota Region",13,13,1,CLP,17,"7 días tras clic o 1 día tras visualización",,23.07692308,5.66666667,1307.69230769,,,7,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Atacama Region",18,18,1,CLP,14,"7 días tras clic o 1 día tras visualización",1,5.55555556,14,777.77777778,,,6,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Aysén Region",21,22,1.04761905,CLP,20,"7 días tras clic o 1 día tras visualización",,,,909.09090909,,,9,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Bío Bío Region",126,141,1.11904762,CLP,130,"7 días tras clic o 1 día tras visualización",3,9.21985816,10,921.9858156,,,47,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Coquimbo Region",39,39,1,CLP,56,"7 días tras clic o 1 día tras visualización",1,10.25641026,14,1435.8974359,,,19,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Los Lagos Region",262,312,1.19083969,CLP,368,"7 días tras clic o 1 día tras visualización",5,7.05128205,16.72727273,1179.48717949,,,102,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Los Ríos Region",38,41,1.07894737,CLP,23,"7 días tras clic o 1 día tras visualización",,2.43902439,23,560.97560976,,,17,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Magallanes y la Antártica Chilena Region",26,28,1.07692308,CLP,26,"7 días tras clic o 1 día tras visualización",,,,928.57142857,,,5,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Maule Region",148,164,1.10810811,CLP,159,"7 días tras clic o 1 día tras visualización",3,5.48780488,17.66666667,969.51219512,,,49,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"O'Higgins Region",81,89,1.09876543,CLP,67,"7 días tras clic o 1 día tras visualización",1,4.49438202,16.75,752.80898876,,,29,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Santiago Metropolitan Region",520,557,1.07115385,CLP,710,"7 días tras clic o 1 día tras visualización",10,5.92459605,21.51515152,1274.68581688,,,204,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Tarapacá Region",16,17,1.0625,CLP,9,"7 días tras clic o 1 día tras visualización",,,,529.41176471,,,6,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-16,"Valparaíso Region",164,181,1.10365854,CLP,191,"7 días tras clic o 1 día tras visualización",1,3.31491713,31.83333333,1055.24861878,,,55,,,,,,2025-06-12,2025-06-19
