"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-14,820,926,1.12926829,CLP,1346,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,4.64362851,31.30232558,1453.5637149,,,304,237,186,138,69,61,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-14,1,2,2,CLP,8,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,4000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-14,850,942,1.10823529,CLP,1600,"7 días tras clic o 1 día tras visualización",28,5.83864119,29.09090909,1698.51380042,,,282,207,146,96,56,50,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-14,2,3,1.5,CLP,1,"7 días tras clic o 1 día tras visualización",,,,333.33333333,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-14,12,12,1,CLP,41,"7 días tras clic o 1 día tras visualización",,,,3416.66666667,,,4,,,,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-14,1016,1092,1.07480315,CLP,1568,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,4.94505495,29.03703704,1435.8974359,,,386,289,223,124,60,52,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-14,28,29,1.03571429,CLP,39,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1344.82758621,,,8,4,2,1,,,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-14,658,741,1.12613982,CLP,1366,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",7,1.88933873,97.57142857,1843.45479082,,,259,33,11,7,5,3,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-14,835,928,1.11137725,CLP,1203,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",20,5.7112069,22.69811321,1296.3362069,,,355,279,200,145,64,61,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-13,1207,1314,1.08864954,CLP,1512,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",27,3.95738204,29.07692308,1150.68493151,,,397,321,235,152,90,78,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-13,929,934,1.00538213,CLP,1140,"7 días tras clic o 1 día tras visualización",15,5.1391863,23.75,1220.55674518,,,329,223,166,105,49,44,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-13,1,1,1,CLP,3,"7 días tras clic o 1 día tras visualización",,,,3000,,,,,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-13,15,15,1,CLP,27,"7 días tras clic o 1 día tras visualización",1,20,9,1800,,,6,3,1,1,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-13,1159,1242,1.07161346,CLP,1412,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,3.9452496,28.81632653,1136.87600644,,,457,349,251,167,80,73,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-13,13,13,1,CLP,21,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1615.38461538,,,3,2,2,1,1,1,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-13,817,1000,1.22399021,CLP,1635,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",16,3.2,51.09375,1635,,,372,56,14,9,7,6,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-13,1518,1565,1.03096179,CLP,1444,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",30,3.76996805,24.47457627,922.68370607,,,544,386,283,167,88,81,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-12,3014,3353,1.11247512,CLP,2496,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",53,3.6683567,20.29268293,744.40799284,,,945,723,518,339,197,183,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-12,33,34,1.03030303,CLP,42,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.94117647,42,1235.29411765,,,14,1,,,,,2025-06-12,2025-06-19
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-12,226,242,1.07079646,CLP,372,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.23966942,124,1537.19008264,,,73,9,4,3,2,2,2025-06-12,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-12,2819,2943,1.04398723,CLP,2498,"7 días tras clic o 1 día tras visualización",71,5.94631329,14.27428571,848.79374788,,,1042,740,555,385,202,175,2025-06-12,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-12,70,82,1.17142857,CLP,138,"7 días tras clic o 1 día tras visualización",,,,1682.92682927,,,22,2,,,,,2025-06-12,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-12,44,48,1.09090909,CLP,83,"7 días tras clic o 1 día tras visualización",,,,1729.16666667,,,21,2,,,,,2025-06-12,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-12,3212,3397,1.05759651,CLP,2453,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",57,3.6797174,19.624,722.10774213,2,1226.5,1168,862,623,415,187,171,2025-06-12,2025-06-19
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-06-12,12,13,1.08333333,CLP,23,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,7.69230769,23,1769.23076923,,,4,1,,,,,2025-06-12,2025-06-19
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-12,148,160,1.08108108,CLP,230,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",7,6.25,23,1437.5,,,46,6,4,4,2,1,2025-06-12,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-12,3,3,1,CLP,2,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,666.66666667,,,2,2,1,,,,2025-06-12,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-12,1420,1660,1.16901408,CLP,2145,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,2.59036145,49.88372093,1292.1686747,,,514,81,28,23,18,12,2025-06-12,2025-06-19
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-12,295,343,1.16271186,CLP,778,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,3.20699708,70.72727273,2268.22157434,,,128,13,9,7,6,6,2025-06-12,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-12,3948,4242,1.07446809,CLP,3235,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",79,4.29042904,17.77472527,762.61197548,,,1505,1087,809,522,274,240,2025-06-12,2025-06-19
"publico valdivia","Video pareja dcto","campaña ventas HotBoat",2025-06-12,2,2,1,CLP,6,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,3000,,,1,,,,,,2025-06-12,2025-06-19
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-12,108,114,1.05555556,CLP,208,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,4.38596491,41.6,1824.56140351,,,51,5,1,,,,2025-06-12,2025-06-19
