"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Región,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-23,"Araucanía Region",1013,1138,1.12339585,CLP,1530,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.89982425,46.36363636,1344.46397188,,,277,,,,,,2025-06-23,2025-06-23
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-21,"Los Ríos Region",4,4,1,CLP,5,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1250,,,1,,,,,,2025-06-21,2025-06-21
"publico concepcion","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-21,"Bío Bío Region",1261,1448,1.148295,CLP,1502,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",21,3.72928177,27.81481481,1037.29281768,,,367,,,,,,2025-06-21,2025-06-21
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-21,"Araucanía Region",369,426,1.15447154,CLP,417,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,3.99061033,24.52941176,978.87323944,,,80,,,,,,2025-06-21,2025-06-21
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-20,"Araucanía Region",2169,2766,1.27524205,CLP,3183,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",41,3.72378886,30.90291262,1150.75921909,,,614,,,,,,2025-06-20,2025-06-20
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-20,"Los Ríos Region",37,44,1.18918919,CLP,60,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,6.81818182,20,1363.63636364,,,10,,,,,,2025-06-20,2025-06-20
"publico concepcion","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-23,"Bío Bío Region",1296,1436,1.10802469,CLP,1650,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,3.20334262,35.86956522,1149.02506964,,,334,,,,,,2025-06-23,2025-06-23
"publico pucon 1","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-19,"Araucanía Region",614,653,1.06351792,CLP,757,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,1.68453292,68.81818182,1159.26493109,,,139,,,,,,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-19,"Araucanía Region",549,573,1.04371585,CLP,857,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,2.96684119,50.41176471,1495.63699825,,,149,,,,,,2025-06-19,2025-06-19
"publico concepcion","Video Lluvia","campaña ventas HotBoat - Lluvia",2025-06-22,"Bío Bío Region",1889,2179,1.15352038,CLP,2464,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",28,4.03854979,28,1130.79394218,,,565,,,,,,2025-06-22,2025-06-22
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",87,97,1.11494253,CLP,148,"7 días tras clic o 1 día tras visualización",3,9.27835052,16.44444444,1525.77319588,,,34,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Atacama Region",13,14,1.07692308,CLP,57,"7 días tras clic o 1 día tras visualización",,14.28571429,28.5,4071.42857143,,,7,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Bío Bío Region",71,76,1.07042254,CLP,110,"7 días tras clic o 1 día tras visualización",1,5.26315789,27.5,1447.36842105,,,25,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Coquimbo Region",36,40,1.11111111,CLP,43,"7 días tras clic o 1 día tras visualización",1,7.5,14.33333333,1075,,,16,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"O'Higgins Region",55,62,1.12727273,CLP,91,"7 días tras clic o 1 día tras visualización",,3.22580645,45.5,1467.74193548,,,19,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Los Lagos Region",139,167,1.20143885,CLP,244,"7 días tras clic o 1 día tras visualización",4,9.58083832,15.25,1461.07784431,,,64,,,,,,2025-06-19,2025-06-19
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-19,"Bío Bío Region",8,8,1,CLP,23,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,2875,,,5,,,,,,2025-06-19,2025-06-19
"publico concepcion","Video pareja dcto","campaña ventas HotBoat",2025-06-19,"Bío Bío Region",98,118,1.20408163,CLP,261,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.54237288,87,2211.86440678,,,41,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Magallanes y la Antártica Chilena Region",19,20,1.05263158,CLP,16,"7 días tras clic o 1 día tras visualización",,5,16,800,,,8,,,,,,2025-06-19,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Bío Bío Region",1295,1408,1.08725869,CLP,1644,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,3.62215909,32.23529412,1167.61363636,,,496,,,,,,2025-06-19,2025-06-19
"publico valdivia","Video pareja dcto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",226,244,1.07964602,CLP,319,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.04918033,63.8,1307.37704918,,,101,,,,,,2025-06-19,2025-06-19
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",1245,1386,1.11325301,CLP,1308,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",26,3.82395382,24.67924528,943.72294372,,,445,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Maule Region",62,65,1.0483871,CLP,67,"7 días tras clic o 1 día tras visualización",1,3.07692308,33.5,1030.76923077,,,23,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Santiago Metropolitan Region",338,379,1.12130178,CLP,677,"7 días tras clic o 1 día tras visualización",9,6.86015831,26.03846154,1786.27968338,,,135,,,,,,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",2298,2499,1.08746736,CLP,2713,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",50,4.64185674,23.38793103,1085.6342537,,,843,,,,,,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video pareja dcto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",8,8,1,CLP,12,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1500,,,4,,,,,,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-19,"Araucanía Region",1,1,1,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,,,,,,,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",32,32,1,CLP,22,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,3.125,22,687.5,,,12,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Tarapacá Region",14,16,1.14285714,CLP,9,"7 días tras clic o 1 día tras visualización",1,6.25,9,562.5,,,6,,,,,,2025-06-19,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-05,"Los Ríos Region",4,4,1,CLP,1,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,250,,,2,,,,,,2025-06-05,2025-06-05
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Antofagasta Region",51,53,1.03921569,CLP,61,"7 días tras clic o 1 día tras visualización",,0,0,1150.94339623,,,23,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"O'Higgins Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,2025-06-19,2025-06-19
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Bío Bío Region",1529,1672,1.09352518,CLP,1979,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",27,4.36602871,27.10958904,1183.61244019,,,577,,,,,,2025-06-18,2025-06-18
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-18,"Los Ríos Region",13,15,1.15384615,CLP,26,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1733.33333333,,,3,,,,,,2025-06-18,2025-06-18
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-18,"Araucanía Region",929,1137,1.22389666,CLP,1855,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",16,2.72647318,59.83870968,1631.48636763,,,320,,,,,,2025-06-18,2025-06-18
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",21,25,1.19047619,CLP,17,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,680,,,5,,,,,,2025-06-19,2025-06-19
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",495,563,1.13737374,CLP,939,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",15,6.39431616,26.08333333,1667.85079929,,,193,,,,,,2025-06-19,2025-06-19
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-19,"Araucanía Region",33,40,1.21212121,CLP,56,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1400,,,6,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",4,4,1,CLP,15,"7 días tras clic o 1 día tras visualización",,0,0,3750,,,3,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Valparaíso Region",5,5,1,CLP,6,"7 días tras clic o 1 día tras visualización",,0,0,1200,,,1,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Antofagasta Region",2,2,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,500,,,2,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",2,2,1,CLP,5,"7 días tras clic o 1 día tras visualización",,0,0,2500,,,2,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Bío Bío Region",4,4,1,CLP,5,"7 días tras clic o 1 día tras visualización",,25,5,1250,,,1,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Los Lagos Region",9,10,1.11111111,CLP,16,"7 días tras clic o 1 día tras visualización",1,10,16,1600,,,3,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Aysén Region",4,4,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,750,,,,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Magallanes y la Antártica Chilena Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Maule Region",7,7,1,CLP,5,"7 días tras clic o 1 día tras visualización",,14.28571429,5,714.28571429,,,2,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Santiago Metropolitan Region",8,8,1,CLP,17,"7 días tras clic o 1 día tras visualización",,0,0,2125,,,2,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-19,"Tarapacá Region",2,2,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,500,,,,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",1,1,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-19,"Araucanía Region",2,3,1.5,CLP,6,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-19,"Los Lagos Region",2,4,2,CLP,13,"7 días tras clic o 1 día tras visualización",1,50,6.5,3250,,,2,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-19,"Santiago Metropolitan Region",7,9,1.28571429,CLP,22,"7 días tras clic o 1 día tras visualización",,0,0,2444.44444444,,,6,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,Unknown,35,36,1.02857143,CLP,104,"7 días tras clic o 1 día tras visualización",,0,0,2888.88888889,,,6,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",31,33,1.06451613,CLP,41,"7 días tras clic o 1 día tras visualización",1,9.09090909,13.66666667,1242.42424242,,,9,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Arica y Parinacota Region",6,6,1,CLP,8,"7 días tras clic o 1 día tras visualización",,0,0,1333.33333333,,,2,,,,,,2025-06-19,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",6,7,1.16666667,CLP,15,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,14.28571429,15,2142.85714286,,,3,,,,,,2025-06-19,2025-06-19
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-19,"Valparaíso Region",115,133,1.15652174,CLP,148,"7 días tras clic o 1 día tras visualización",3,5.26315789,21.14285714,1112.78195489,,,52,,,,,,2025-06-19,2025-06-19
"publico pucon 1","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Araucanía Region",106,119,1.12264151,CLP,176,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,2.5210084,58.66666667,1478.99159664,,,24,,,,,,2025-06-19,2025-06-19
"publico pucon 1","Video pareja dcto","campaña ventas HotBoat",2025-06-19,"Araucanía Region",493,584,1.18458418,CLP,1184,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,2.73972603,74,2027.39726027,,,165,,,,,,2025-06-19,2025-06-19
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-20,"Coquimbo Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,1,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-20,"O'Higgins Region",6,7,1.16666667,CLP,9,"7 días tras clic o 1 día tras visualización",,14.28571429,9,1285.71428571,,,1,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-20,"Los Lagos Region",14,14,1,CLP,16,"7 días tras clic o 1 día tras visualización",,7.14285714,16,1142.85714286,,,8,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-20,"Magallanes y la Antártica Chilena Region",1,2,2,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,1,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-20,"Maule Region",9,10,1.11111111,CLP,21,"7 días tras clic o 1 día tras visualización",,10,21,2100,,,4,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-20,"Santiago Metropolitan Region",20,25,1.25,CLP,41,"7 días tras clic o 1 día tras visualización",1,12,13.66666667,1640,,,11,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-20,"Tarapacá Region",2,2,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,500,,,,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-20,"Los Ríos Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-20,"Valparaíso Region",2,2,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,500,,,1,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-20,"Antofagasta Region",2,2,1,CLP,20,"7 días tras clic o 1 día tras visualización",,0,0,10000,,,1,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-20,"Araucanía Region",3,3,1,CLP,3,"7 días tras clic o 1 día tras visualización",1,66.66666667,1.5,1000,,,1,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-20,"Bío Bío Region",1,1,1,CLP,10,"7 días tras clic o 1 día tras visualización",,0,0,10000,,,,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-20,"Los Lagos Region",5,5,1,CLP,6,"7 días tras clic o 1 día tras visualización",,0,0,1200,,,1,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-20,"Bío Bío Region",7,7,1,CLP,7,"7 días tras clic o 1 día tras visualización",,14.28571429,7,1000,,,4,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-20,"Maule Region",2,2,1,CLP,3,"7 días tras clic o 1 día tras visualización",,0,0,1500,,,,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-20,"Santiago Metropolitan Region",10,13,1.3,CLP,46,"7 días tras clic o 1 día tras visualización",,0,0,3538.46153846,,,6,,,,,,2025-06-20,2025-06-20
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,"Los Ríos Region",17,18,1.05882353,CLP,15,"7 días tras clic o 1 día tras visualización",,5.55555556,15,833.33333333,,,4,,,,,,2025-06-20,2025-06-20
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,"Arica y Parinacota Region",7,7,1,CLP,13,"7 días tras clic o 1 día tras visualización",,0,0,1857.14285714,,,2,,,,,,2025-06-20,2025-06-20
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,"Valparaíso Region",65,68,1.04615385,CLP,54,"7 días tras clic o 1 día tras visualización",3,7.35294118,10.8,794.11764706,,,23,,,,,,2025-06-20,2025-06-20
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,"Aysén Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,,,,,,2025-06-20,2025-06-20
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,"Antofagasta Region",27,31,1.14814815,CLP,40,"7 días tras clic o 1 día tras visualización",,12.90322581,10,1290.32258065,,,14,,,,,,2025-06-20,2025-06-20
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,"Araucanía Region",45,48,1.06666667,CLP,41,"7 días tras clic o 1 día tras visualización",,4.16666667,20.5,854.16666667,,,14,,,,,,2025-06-20,2025-06-20
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,"Atacama Region",15,16,1.06666667,CLP,65,"7 días tras clic o 1 día tras visualización",,0,0,4062.5,,,3,,,,,,2025-06-20,2025-06-20
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,"Bío Bío Region",49,50,1.02040816,CLP,61,"7 días tras clic o 1 día tras visualización",,2,61,1220,,,19,,,,,,2025-06-20,2025-06-20
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-20,"Coquimbo Region",26,26,1,CLP,61,"7 días tras clic o 1 día tras visualización",1,7.69230769,30.5,2346.15384615,,,6,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-20,"Coquimbo Region",1,2,2,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,2025-06-20,2025-06-20
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-20,"Atacama Region",1,1,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,2000,,,,,,,,,2025-06-20,2025-06-20
"publico pucon 1","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",3,3,1,CLP,0,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,0,,,1,,,,,,2025-06-19,2025-06-19
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Los Lagos Region",18,35,1.94444444,CLP,29,"7 días tras clic o 1 día tras visualización",1,8.57142857,9.66666667,828.57142857,,,6,,,,,,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-18,"Araucanía Region",1367,1616,1.18215069,CLP,1905,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,4.76485149,24.74025974,1178.83663366,,,479,,,,,,2025-06-18,2025-06-18
"publico concepcion","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Bío Bío Region",31,32,1.03225806,CLP,44,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,1375,,,6,,,,,,2025-06-19,2025-06-19
"Test Publicos : Temuco","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Araucanía Region",21,21,1,CLP,19,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0,0,904.76190476,,,6,,,,,,2025-06-19,2025-06-19
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Los Ríos Region",13,16,1.23076923,CLP,60,"7 días tras clic o 1 día tras visualización",,0,0,3750,,,4,,,,,,2025-06-19,2025-06-19
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Valparaíso Region",4,5,1.25,CLP,4,"7 días tras clic o 1 día tras visualización",,0,0,800,,,1,,,,,,2025-06-19,2025-06-19
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Aysén Region",1,1,1,CLP,0,"7 días tras clic o 1 día tras visualización",,0,0,0,,,,,,,,,2025-06-19,2025-06-19
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Antofagasta Region",2,2,1,CLP,2,"7 días tras clic o 1 día tras visualización",,0,0,1000,,,,,,,,,2025-06-19,2025-06-19
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Araucanía Region",10,11,1.1,CLP,11,"7 días tras clic o 1 día tras visualización",,9.09090909,11,1000,,,3,,,,,,2025-06-19,2025-06-19
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Bío Bío Region",8,9,1.125,CLP,24,"7 días tras clic o 1 día tras visualización",,0,0,2666.66666667,,,3,,,,,,2025-06-19,2025-06-19
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-19,"Coquimbo Region",3,3,1,CLP,1,"7 días tras clic o 1 día tras visualización",,0,0,333.33333333,,,,,,,,,2025-06-19,2025-06-19
"publico advantage","Video Lluvia","campaña ventas HotBoat",2025-06-19,"O'Higgins Region",3,3,1,CLP,8,"7 días tras clic o 1 día tras visualización",,0,0,2666.66666667,,,,,,,,,2025-06-19,2025-06-19
