Costo diario google ads
10 de marzo de 2025 - 10 de agosto de 2025
Día,Campaña,Código de moneda,Coste,Conversiones,Clics,CPC medio
2025-07-01,HotBoat Araucanía Español,CLP,1520,"0,00",13,117
2025-07-01,HotBoat Araucanía Ingles,CLP,542,"0,00",1,542
2025-06-30,HotBoat Araucanía Español,CLP,1762,"0,00",13,136
2025-06-30,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-06-29,HotBoat Araucanía Español,CLP,506,"0,00",4,127
2025-06-29,HotBoat Araucanía Ingles,CLP,317,"0,00",2,159
2025-06-28,HotBoat Araucanía Español,CLP,1366,"0,00",11,124
2025-06-28,HotBoat Araucanía Ingles,CLP,970,"0,00",1,970
2025-06-27,HotBoat Araucanía Español,CLP,683,"0,00",9,76
2025-06-27,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-06-26,HotBoat Araucanía Español,CLP,388,"0,00",7,55
2025-06-26,HotBoat Araucanía Ingles,CLP,838,"0,00",2,419
2025-06-25,HotBoat Araucanía Español,CLP,760,"0,00",11,69
2025-06-25,HotBoat Araucanía Ingles,CLP,769,"0,00",1,769
2025-06-24,HotBoat Araucanía Español,CLP,1394,"0,00",18,77
2025-06-24,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-06-23,HotBoat Araucanía Español,CLP,1591,"0,00",14,114
2025-06-23,HotBoat Araucanía Ingles,CLP,650,"0,00",2,325
2025-06-22,HotBoat Araucanía Español,CLP,1725,"0,00",10,173
2025-06-22,HotBoat Araucanía Ingles,CLP,110,"0,00",1,110
2025-06-21,HotBoat Araucanía Español,CLP,1417,"3,00",9,157
2025-06-21,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-05-16,HotBoat Araucanía Español,CLP,0,"0,00",0,0
2025-05-15,HotBoat Araucanía Español,CLP,3168,"2,00",14,226
2025-05-15,HotBoat Araucanía Ingles,CLP,668,"0,00",1,668
2025-05-14,HotBoat Araucanía Español,CLP,4076,"3,00",12,340
2025-05-14,HotBoat Araucanía Ingles,CLP,977,"0,00",1,977
2025-05-13,HotBoat Araucanía Español,CLP,2013,"0,00",7,288
2025-05-13,HotBoat Araucanía Ingles,CLP,572,"0,00",2,286
2025-05-12,HotBoat Araucanía Español,CLP,2929,"1,00",5,586
2025-05-12,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-05-11,HotBoat Araucanía Español,CLP,4769,"0,00",9,530
2025-05-11,HotBoat Araucanía Ingles,CLP,689,"0,00",1,689
2025-05-10,HotBoat Araucanía Español,CLP,1539,"19,00",5,308
2025-05-10,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-05-09,HotBoat Araucanía Español,CLP,2960,"0,00",8,370
2025-05-09,HotBoat Araucanía Ingles,CLP,648,"0,00",1,648
2025-05-08,HotBoat Araucanía Español,CLP,4979,"2,00",11,453
2025-05-08,HotBoat Araucanía Ingles,CLP,809,"3,00",1,809
2025-05-07,HotBoat Araucanía Español,CLP,2925,"4,00",12,244
2025-05-07,HotBoat Araucanía Ingles,CLP,993,"0,00",1,993
2025-05-06,HotBoat Araucanía Español,CLP,1646,"0,00",10,165
2025-05-06,HotBoat Araucanía Ingles,CLP,231,"0,00",1,231
2025-05-05,HotBoat Araucanía Español,CLP,159,"0,00",1,159
2025-05-05,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-05-04,HotBoat Araucanía Español,CLP,554,"1,00",5,111
2025-05-04,HotBoat Araucanía Ingles,CLP,594,"0,00",1,594
2025-05-03,HotBoat Araucanía Español,CLP,2153,"5,00",21,103
2025-05-03,HotBoat Araucanía Ingles,CLP,930,"0,00",1,930
2025-05-02,HotBoat Araucanía Español,CLP,2580,"0,00",18,143
2025-05-02,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-05-01,HotBoat Araucanía Español,CLP,2708,"1,00",17,159
2025-05-01,HotBoat Araucanía Ingles,CLP,619,"0,00",2,310
2025-04-30,HotBoat Araucanía Español,CLP,2231,"9,00",17,131
2025-04-30,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-29,HotBoat Araucanía Español,CLP,1492,"2,00",8,187
2025-04-29,HotBoat Araucanía Ingles,CLP,960,"0,00",1,960
2025-04-28,HotBoat Araucanía Español,CLP,1915,"2,00",8,239
2025-04-28,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-27,HotBoat Araucanía Español,CLP,3011,"0,00",9,335
2025-04-27,HotBoat Araucanía Ingles,CLP,855,"0,00",1,855
2025-04-26,HotBoat Araucanía Español,CLP,2160,"0,00",7,309
2025-04-26,HotBoat Araucanía Ingles,CLP,675,"0,00",2,338
2025-04-25,HotBoat Araucanía Español,CLP,4468,"10,00",14,319
2025-04-25,HotBoat Araucanía Ingles,CLP,910,"0,00",1,910
2025-04-24,HotBoat Araucanía Español,CLP,4926,"7,00",11,448
2025-04-24,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-23,HotBoat Araucanía Español,CLP,1124,"1,00",5,225
2025-04-23,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-22,HotBoat Araucanía Español,CLP,2982,"10,00",16,186
2025-04-22,HotBoat Araucanía Ingles,CLP,271,"0,00",1,271
2025-04-21,HotBoat Araucanía Español,CLP,1126,"1,00",10,113
2025-04-21,HotBoat Araucanía Ingles,CLP,876,"0,00",3,292
2025-04-20,HotBoat Araucanía Español,CLP,846,"0,00",6,141
2025-04-20,HotBoat Araucanía Ingles,CLP,726,"0,00",4,182
2025-04-19,HotBoat Araucanía Español,CLP,2619,"1,00",24,109
2025-04-19,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-18,HotBoat Araucanía Español,CLP,3066,"4,00",17,180
2025-04-18,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-17,HotBoat Araucanía Español,CLP,2465,"11,00",11,224
2025-04-17,HotBoat Araucanía Ingles,CLP,964,"0,00",1,964
2025-04-16,HotBoat Araucanía Español,CLP,2492,"2,00",11,227
2025-04-16,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-15,HotBoat Araucanía Español,CLP,2646,"7,00",13,204
2025-04-15,HotBoat Araucanía Ingles,CLP,988,"0,00",1,988
2025-04-14,HotBoat Araucanía Español,CLP,2761,"2,00",9,307
2025-04-14,HotBoat Araucanía Ingles,CLP,937,"0,00",1,937
2025-04-13,HotBoat Araucanía Español,CLP,3213,"11,00",8,402
2025-04-13,HotBoat Araucanía Ingles,CLP,916,"0,00",2,458
2025-04-12,HotBoat Araucanía Español,CLP,3751,"6,00",10,375
2025-04-12,HotBoat Araucanía Ingles,CLP,62,"0,00",1,62
2025-04-11,HotBoat Araucanía Español,CLP,297,"0,00",1,297
2025-04-11,HotBoat Araucanía Ingles,CLP,783,"0,00",1,783
2025-04-10,HotBoat Araucanía Español,CLP,3135,"4,00",6,522
2025-04-10,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-09,HotBoat Araucanía Español,CLP,2122,"2,00",8,265
2025-04-09,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-08,HotBoat Araucanía Español,CLP,2694,"5,00",3,898
2025-04-08,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-07,HotBoat Araucanía Español,CLP,2151,"4,00",4,538
2025-04-07,HotBoat Araucanía Ingles,CLP,212,"0,00",1,212
2025-04-06,HotBoat Araucanía Español,CLP,2300,"1,00",7,329
2025-04-06,HotBoat Araucanía Ingles,CLP,998,"2,00",2,499
2025-04-05,HotBoat Araucanía Español,CLP,2977,"1,00",8,372
2025-04-05,HotBoat Araucanía Ingles,CLP,989,"0,00",1,989
2025-04-04,HotBoat Araucanía Español,CLP,2667,"4,00",7,381
2025-04-04,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-03,HotBoat Araucanía Español,CLP,2660,"1,00",5,532
2025-04-03,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-04-02,HotBoat Araucanía Español,CLP,2666,"1,00",5,533
2025-04-02,HotBoat Araucanía Ingles,CLP,980,"0,00",1,980
2025-04-01,HotBoat Araucanía Español,CLP,3128,"3,00",4,782
2025-04-01,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-03-31,HotBoat Araucanía Español,CLP,3797,"0,00",5,759
2025-03-31,HotBoat Araucanía Ingles,CLP,1000,"0,00",1,1000
2025-03-30,HotBoat Araucanía Español,CLP,1765,"0,00",8,221
2025-03-30,HotBoat Araucanía Ingles,CLP,998,"0,00",2,499
2025-03-29,HotBoat Araucanía Español,CLP,3393,"1,00",6,566
2025-03-29,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-03-28,HotBoat Araucanía Español,CLP,603,"0,00",5,121
2025-03-28,HotBoat Araucanía Ingles,CLP,204,"0,00",1,204
2025-03-27,HotBoat Araucanía Español,CLP,1413,"0,00",3,471
2025-03-27,HotBoat Araucanía Ingles,CLP,0,"0,00",0,0
2025-03-26,Campaign #1,CLP,2253,"18,00",43,52
2025-03-26,HotBoat Araucanía Español,CLP,800,"0,00",3,267
2025-03-25,Campaign #1,CLP,2531,"39,00",40,63
2025-03-24,Campaign #1,CLP,2972,"33,92",37,80
2025-03-23,Campaign #1,CLP,1763,"44,07",31,57
2025-03-22,Campaign #1,CLP,2454,"34,00",43,57
2025-03-21,Campaign #1,CLP,2598,"25,00",24,108
2025-03-20,Campaign #1,CLP,4361,"37,01",66,66
2025-03-19,Campaign #1,CLP,5098,"52,00",75,68
2025-03-18,Campaign #1,CLP,1428,"27,00",17,84
2025-03-17,Campaign #1,CLP,0,"0,00",0,0
