"Nombre del anuncio",Día,"Nombre de la campaña","Nombre del conjunto de anuncios",Alcance,Impresiones,Frecuencia,Compras,Divisa,"Importe gastado (CLP)","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Costo por compra","Inicio del informe","Fin del informe","agrego al carrito tom (compro)","Costo por agrego al carrito tom (compro)","Hizo el pago","Costo por Hizo el pago","Interacción con la página","Intento pagar","Conversaciones con mensajes iniciadas"
"Video Lluvia",2025-09-14,"campaña Cliente Potenciales HotBoat","publico pucon 1",74,79,1.06756757,,CLP,75,1,2.53164557,37.5,949.36708861,,,20,6,2,,,,,2025-09-14,2025-09-14,,,,,21,,1
"Video Lluvia",2025-09-15,"campaña Cliente Potenciales HotBoat","publico pucon 1",660,743,1.12575758,,CLP,904,4,2.82637954,43.04761905,1216.68909825,,,206,32,14,11,8,7,,2025-09-15,2025-09-15,,,,,218,,2
"Video Lluvia",2025-09-16,"campaña Cliente Potenciales HotBoat","publico pucon 1",94,114,1.21276596,,CLP,192,1,3.50877193,48,1684.21052632,,,30,7,3,2,1,1,,2025-09-16,2025-09-16,,,,,31,,
"Video Lluvia",2025-09-17,"campaña Cliente Potenciales HotBoat","publico pucon 1",29,31,1.06896552,,CLP,32,,3.22580645,32,1032.25806452,,,11,1,1,,,,,2025-09-17,2025-09-17,,,,,12,,
Stefideviaje,2025-09-17,"campaña Cliente Potenciales HotBoat","publico concepcion",1100,1147,1.04272727,,CLP,1105,11,3.40017437,28.33333333,963.38273758,,,352,134,103,78,58,42,,2025-09-17,2025-09-17,,,,,386,,3
Stefideviaje,2025-09-13,"campaña Cliente Potenciales HotBoat","publico concepcion",16,17,1.0625,,CLP,20,,0,0,1176.47058824,,,8,3,2,2,,,,2025-09-13,2025-09-13,,,,,8,,
Stefideviaje,2025-09-15,"campaña Cliente Potenciales HotBoat","publico concepcion",119,122,1.02521008,,CLP,105,1,2.45901639,35,860.6557377,,,41,13,10,9,7,4,,2025-09-15,2025-09-15,,,,,43,,1
Stefideviaje,2025-09-16,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",959,1020,1.06360792,,CLP,1050,8,3.03921569,33.87096774,1029.41176471,,,309,127,96,78,48,31,,2025-09-16,2025-09-16,,,,,338,,4
"Video Lluvia",2025-09-16,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",35,38,1.08571429,,CLP,29,,5.26315789,14.5,763.15789474,,,10,1,,,,,,2025-09-16,2025-09-16,,,,,11,,
"Video Lluvia",2025-09-17,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",11,13,1.18181818,,CLP,5,,0,0,384.61538462,,,2,,,,,,,2025-09-17,2025-09-17,,,,,2,,
"Video Lluvia",2025-09-18,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",5,5,1,,CLP,1,,0,0,200,,,2,,,,,,,2025-09-18,2025-09-18,,,,,2,,
"Video explicando servicio corto",2025-09-14,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",365,380,1.04109589,,CLP,424,1,1.57894737,70.66666667,1115.78947368,,,161,105,69,45,24,18,,2025-09-14,2025-09-14,,,,,164,,1
"Video explicando servicio corto",2025-09-15,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",150,157,1.04666667,,CLP,121,3,5.0955414,15.125,770.70063694,,,59,37,22,12,9,9,,2025-09-15,2025-09-15,,,,,66,,3
"Video explicando servicio corto",2025-09-16,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",1307,1391,1.06426932,,CLP,1247,18,3.45075485,25.97916667,896.47735442,,,527,373,264,187,92,77,,2025-09-16,2025-09-16,,,,,563,,8
"Video explicando servicio corto",2025-09-17,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",60,64,1.06666667,,CLP,36,,3.125,18,562.5,,,21,14,11,9,7,7,,2025-09-17,2025-09-17,,,,,22,,
"Video explicando servicio corto",2025-09-18,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",1082,1133,1.04713494,,CLP,865,3,2.20653133,34.6,763.45984113,,,462,327,240,155,74,64,,2025-09-18,2025-09-18,,,,,480,,2
"Video parejas amor",2025-09-14,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",42,42,1,,CLP,77,,2.38095238,77,1833.33333333,,,22,1,,,,,,2025-09-14,2025-09-14,,,,,22,,
"Video parejas amor",2025-09-15,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",283,302,1.06713781,,CLP,397,3,1.98675497,66.16666667,1314.56953642,,,131,17,8,5,2,1,,2025-09-15,2025-09-15,,,,,134,,2
"Video parejas amor",2025-09-16,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",76,80,1.05263158,,CLP,78,1,3.75,26,975,,,26,1,,,,,,2025-09-16,2025-09-16,,,,,28,,1
Stefideviaje,2025-09-14,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",31,31,1,,CLP,48,,0,0,1548.38709677,,,9,2,,,,,,2025-09-14,2025-09-14,,,,,9,,
Stefideviaje,2025-09-15,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",453,468,1.03311258,,CLP,658,6,5.12820513,27.41666667,1405.98290598,,,146,51,37,29,17,13,,2025-09-15,2025-09-15,,,,,160,,3
Stefideviaje,2025-09-17,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",1131,1200,1.06100796,,CLP,1047,9,3,29.08333333,872.5,,,371,131,99,84,56,40,,2025-09-17,2025-09-17,,,,,405,,4
"Video Lluvia",2025-09-15,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",469,529,1.12793177,,CLP,577,3,4.34782609,25.08695652,1090.73724008,,,153,29,16,11,9,8,,2025-09-15,2025-09-15,,,,,168,,2
Stefideviaje,2025-09-18,"campaña Cliente Potenciales HotBoat","Test Publicos : Temuco",21,21,1,,CLP,12,,0,0,571.42857143,,,5,2,1,1,1,,,2025-09-18,2025-09-18,,,,,5,,
"Video Lluvia",2025-09-10,"campaña Cliente Potenciales HotBoat","publico concepcion",434,495,1.140553,,CLP,835,2,3.23232323,52.1875,1686.86868687,,,152,19,9,9,8,7,,2025-09-10,2025-09-10,,,,,160,,2
"Video Lluvia",2025-09-11,"campaña Cliente Potenciales HotBoat","publico concepcion",788,891,1.13071066,,CLP,1351,9,3.92817059,38.6,1516.27384961,,,280,44,19,12,9,4,,2025-09-11,2025-09-11,,,,,300,,6
"Video Lluvia",2025-09-12,"campaña Cliente Potenciales HotBoat","publico concepcion",876,929,1.06050228,,CLP,1245,6,3.55220667,37.72727273,1340.15069968,,,327,55,25,17,9,4,,2025-09-12,2025-09-12,,,,,347,,5
"Video Lluvia",2025-09-13,"campaña Cliente Potenciales HotBoat","publico concepcion",617,652,1.05672609,,CLP,707,2,3.83435583,28.28,1084.35582822,,,212,33,15,9,8,7,,2025-09-13,2025-09-13,,,,,223,,3
"Video Lluvia",2025-09-14,"campaña Cliente Potenciales HotBoat","publico concepcion",879,934,1.0625711,,CLP,1132,8,2.89079229,41.92592593,1211.99143469,,,279,53,18,10,9,6,,2025-09-14,2025-09-14,,,,,295,,4
"Video Lluvia",2025-09-15,"campaña Cliente Potenciales HotBoat","publico concepcion",642,658,1.02492212,,CLP,707,3,1.97568389,54.38461538,1074.46808511,,,190,32,15,8,5,4,,2025-09-15,2025-09-15,,,,,196,,1
"Video Lluvia",2025-09-16,"campaña Cliente Potenciales HotBoat","publico concepcion",80,84,1.05,,CLP,67,,2.38095238,33.5,797.61904762,,,26,3,2,2,2,1,,2025-09-16,2025-09-16,,,,,28,,
"Video Lluvia",2025-09-17,"campaña Cliente Potenciales HotBoat","publico concepcion",1,1,1,,CLP,1,,100,1,1000,,,1,,,,,,,2025-09-17,2025-09-17,,,,,2,,
Stefideviaje,2025-09-14,"campaña Cliente Potenciales HotBoat","publico pucon 1",55,58,1.05454545,,CLP,59,,5.17241379,19.66666667,1017.24137931,,,13,6,6,5,4,3,,2025-09-14,2025-09-14,,,,,14,,
Stefideviaje,2025-09-16,"campaña Cliente Potenciales HotBoat","publico pucon 1",71,75,1.05633803,,CLP,67,,2.66666667,33.5,893.33333333,,,22,7,7,4,3,3,,2025-09-16,2025-09-16,,,,,24,,
Stefideviaje,2025-09-17,"campaña Cliente Potenciales HotBoat","publico pucon 1",110,120,1.09090909,,CLP,130,2,2.5,43.33333333,1083.33333333,,,29,9,6,5,4,3,,2025-09-17,2025-09-17,,,,,33,,1
Stefideviaje,2025-09-18,"campaña Cliente Potenciales HotBoat","publico pucon 1",9,10,1.11111111,,CLP,18,,0,0,1800,,,2,,,,,,,2025-09-18,2025-09-18,,,,,2,,
Stefideviaje,2025-09-10,"campaña Cliente Potenciales HotBoat","publico concepcion",12,13,1.08333333,,CLP,28,1,7.69230769,28,2153.84615385,,,6,5,4,4,2,1,,2025-09-10,2025-09-10,,,,,7,,1
"Video Lluvia",2025-09-18,"campaña Cliente Potenciales HotBoat","publico pucon 1",2,2,1,,CLP,5,,0,0,2500,,,,,,,,,,2025-09-18,2025-09-18,,,,,,,
