"Nombre del conjunto de anuncios","Nombre del anuncio","Nombre de la campaña",Día,Alcance,Impresiones,Frecuencia,Divisa,"Importe gastado (CLP)","Configuración de atribución","Clics en el enlace","CTR (todos)","CPC (todos)","CPM (costo por mil impresiones)","Artículos agregados al carrito","Costo por artículo agregado al carrito","Reproducciones de video de 3 segundos","Reproducciones de video hasta el 25%","Reproducciones de video hasta el 50%","Reproducciones de video hasta el 75%","Reproducciones de video hasta el 95%","Reproducciones de video hasta el 100%","Inicio del informe","Fin del informe"
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-11,2000,2091,1.0455,CLP,1559,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",32,3.82592061,19.4875,745.57627929,,,740,551,422,272,123,110,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-11,22,22,1,CLP,43,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,4.54545455,43,1954.54545455,,,8,2,1,,,,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-10,700,760,1.08571429,CLP,695,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,3.94736842,23.16666667,914.47368421,,,225,165,109,67,40,35,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-10,4,4,1,CLP,3,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,750,,,1,,,,,,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-10,747,889,1.19009371,CLP,1119,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,0.89988751,139.875,1258.71766029,,,233,28,9,8,7,6,2025-01-01,2025-06-11
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-10,2319,2498,1.07718844,CLP,2017,"7 días tras clic o 1 día tras visualización",39,4.28342674,18.85046729,807.44595677,,,845,586,446,285,133,114,2025-01-01,2025-06-11
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-10,29,31,1.06896552,CLP,48,"7 días tras clic o 1 día tras visualización",,3.22580645,48,1548.38709677,,,12,,,,,,2025-01-01,2025-06-11
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-10,142,155,1.0915493,CLP,185,"7 días tras clic o 1 día tras visualización",2,3.87096774,30.83333333,1193.5483871,,,54,9,3,2,2,2,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-10,1100,1159,1.05363636,CLP,886,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",13,3.45125108,22.15,764.45211389,,,399,288,217,142,67,60,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-10,605,674,1.11404959,CLP,1058,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,2.96735905,52.9,1569.73293769,,,268,25,7,3,3,1,2025-01-01,2025-06-11
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-10,18,18,1,CLP,16,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,5.55555556,16,888.88888889,,,3,,,,,,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-10,27,28,1.03703704,CLP,31,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,3.57142857,31,1107.14285714,,,5,4,3,,,,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-10,890,1047,1.17640449,CLP,1462,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,2.48328558,56.23076923,1396.37058262,,,352,43,17,11,5,3,2025-01-01,2025-06-11
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-10,635,721,1.13543307,CLP,1027,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,3.19001387,44.65217391,1424.41054092,,,250,33,14,10,9,6,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-10,1915,2105,1.09921671,CLP,1930,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",37,4.41805226,20.75268817,916.86460808,,,750,536,412,277,122,112,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-10,8,8,1,CLP,9,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1125,,,4,1,,,,,2025-01-01,2025-06-11
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-10,4,4,1,CLP,5,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1250,,,3,,,,,,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-09,1185,1301,1.0978903,CLP,1483,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",23,3.99692544,28.51923077,1139.89239047,,,397,303,229,152,72,66,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-09,6,6,1,CLP,6,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1000,,,4,1,,,,,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-09,81,100,1.2345679,CLP,369,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,6,61.5,3690,,,38,5,,,,,2025-01-01,2025-06-11
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-09,1575,1648,1.04634921,CLP,1528,"7 días tras clic o 1 día tras visualización",31,6.12864078,15.12871287,927.18446602,,,592,432,307,215,114,101,2025-01-01,2025-06-11
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-09,53,55,1.03773585,CLP,61,"7 días tras clic o 1 día tras visualización",,,,1109.09090909,,,15,3,,,,,2025-01-01,2025-06-11
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-09,8,8,1,CLP,16,"7 días tras clic o 1 día tras visualización",2,25,8,2000,,,2,,,,,,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-09,727,763,1.04951857,CLP,538,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",14,4.71821756,14.94444444,705.11140236,,,298,216,168,112,53,48,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-09,703,745,1.05974395,CLP,1109,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",15,4.4295302,33.60606061,1488.59060403,,,342,43,12,5,4,3,2025-01-01,2025-06-11
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-09,66,68,1.03030303,CLP,121,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.47058824,121,1779.41176471,,,24,3,2,2,1,1,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-09,58,58,1,CLP,36,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,3.44827586,18,620.68965517,,,15,14,7,6,3,3,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-09,656,735,1.12042683,CLP,1247,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,2.17687075,77.9375,1696.59863946,,,282,33,10,6,4,4,2025-01-01,2025-06-11
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-09,658,778,1.18237082,CLP,1518,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.69922879,72.28571429,1951.15681234,,,270,35,10,6,3,1,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-09,1103,1136,1.0299184,CLP,921,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",25,5.1056338,15.87931034,810.73943662,,,419,294,228,148,72,61,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-09,4,4,1,CLP,4,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1000,,,2,,,,,,2025-01-01,2025-06-11
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-09,216,225,1.04166667,CLP,326,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.33333333,108.66666667,1448.88888889,,,91,8,1,,,,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-08,1412,1511,1.07011331,CLP,1208,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",12,2.38252813,33.55555556,799.47054931,,,432,309,217,141,77,69,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-08,387,421,1.0878553,CLP,909,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",7,2.85035629,75.75,2159.14489311,,,159,18,4,2,2,,2025-01-01,2025-06-11
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-08,2497,2597,1.04004806,CLP,2120,"7 días tras clic o 1 día tras visualización",58,6.04543704,13.50318471,816.32653061,,,945,701,511,357,167,141,2025-01-01,2025-06-11
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-08,2,2,1,CLP,4,"7 días tras clic o 1 día tras visualización",,50,4,2000,,,1,,,,,,2025-01-01,2025-06-11
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-08,3,3,1,CLP,1,"7 días tras clic o 1 día tras visualización",,,,333.33333333,,,2,,,,,,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-08,2741,2872,1.04779278,CLP,2156,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",61,5.08356546,14.76712329,750.69637883,,,1069,826,627,428,191,168,2025-01-01,2025-06-11
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-08,4,4,1,CLP,2,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,500,,,2,,,,,,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-08,1138,1220,1.07205624,CLP,1073,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",16,2.86885246,30.65714286,879.50819672,,,315,229,165,120,54,46,2025-01-01,2025-06-11
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-08,720,822,1.14166667,CLP,1208,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,1.70316302,86.28571429,1469.5863747,,,322,33,10,5,2,2,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-08,2491,2739,1.09955841,CLP,2143,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",52,4.19861263,18.63478261,782.40233662,,,976,734,572,391,190,173,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-07,108,128,1.18518519,CLP,170,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,0.78125,170,1328.125,,,29,24,18,13,4,4,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-07,1011,1175,1.16221563,CLP,1680,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",19,2.9787234,48,1429.78723404,,,400,52,18,13,9,8,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-07,16,16,1,CLP,21,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1312.5,,,9,1,,,,,2025-01-01,2025-06-11
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-07,2164,2328,1.07578558,CLP,2047,"7 días tras clic o 1 día tras visualización",61,5.79896907,15.16296296,879.29553265,,,808,593,443,295,163,148,2025-01-01,2025-06-11
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-07,36,38,1.05555556,CLP,28,"7 días tras clic o 1 día tras visualización",,2.63157895,28,736.84210526,,,12,1,,,,,2025-01-01,2025-06-11
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-07,44,44,1,CLP,22,"7 días tras clic o 1 día tras visualización",2,13.63636364,3.66666667,500,,,18,4,,,,,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-07,1705,1770,1.03812317,CLP,1486,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",33,4.68926554,17.90361446,839.5480226,,,622,462,359,247,113,107,2025-01-01,2025-06-11
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-07,418,442,1.05741627,CLP,636,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,3.39366516,42.4,1438.91402715,,,170,25,5,4,3,,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-07,2057,2282,1.1093826,CLP,2197,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",37,3.7248028,25.84705882,962.75197195,,,681,523,384,257,140,124,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-07,1,1,1,CLP,,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,,,,,,,,,,2025-01-01,2025-06-11
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-07,2,4,2,CLP,14,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,3500,,,1,,,,,,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-07,2030,2116,1.04236453,CLP,1985,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",36,3.87523629,24.20731707,938.09073724,,,759,559,428,289,134,113,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-07,94,100,1.06382979,CLP,160,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,2,80,1600,,,35,4,1,1,1,1,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-06,155,189,1.21935484,CLP,247,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.64550265,49.4,1306.87830688,,,55,33,28,20,11,9,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-06,639,735,1.15023474,CLP,1187,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",9,2.85714286,56.52380952,1614.96598639,,,275,36,11,8,8,8,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-06,321,341,1.0623053,CLP,488,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,2.93255132,48.8,1431.08504399,,,84,11,6,3,3,3,2025-01-01,2025-06-11
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-06,540,570,1.05555556,CLP,824,"7 días tras clic o 1 día tras visualización",8,4.21052632,34.33333333,1445.61403509,,,189,141,111,76,39,39,2025-01-01,2025-06-11
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-06,234,262,1.11965812,CLP,287,"7 días tras clic o 1 día tras visualización",5,5.34351145,20.5,1095.41984733,,,105,12,2,2,2,1,2025-01-01,2025-06-11
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-06,540,588,1.08888889,CLP,504,"7 días tras clic o 1 día tras visualización",6,3.23129252,26.52631579,857.14285714,,,226,24,7,5,4,3,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-06,579,654,1.12953368,CLP,797,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",11,3.21100917,37.95238095,1218.65443425,,,235,176,132,79,44,42,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-06,56,59,1.05357143,CLP,78,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1322.03389831,,,23,2,1,1,1,1,2025-01-01,2025-06-11
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-06,412,463,1.12378641,CLP,819,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",7,4.96760259,35.60869565,1768.89848812,,,142,19,4,3,3,3,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-06,1454,1600,1.10041265,CLP,1634,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",24,2.5625,39.85365854,1021.25,,,407,305,217,145,87,79,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-06,403,436,1.08188586,CLP,782,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,2.29357798,78.2,1793.57798165,,,163,22,10,9,7,6,2025-01-01,2025-06-11
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-06,57,62,1.0877193,CLP,99,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,1596.77419355,,,19,2,,,,,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-06,681,716,1.05139501,CLP,896,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",10,3.2122905,38.95652174,1251.39664804,,,280,206,150,102,46,39,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-06,87,89,1.02298851,CLP,138,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,4.49438202,34.5,1550.56179775,,,42,4,,,,,2025-01-01,2025-06-11
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-06,478,512,1.07112971,CLP,636,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",6,2.734375,45.42857143,1242.1875,,,174,19,2,2,2,1,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto","campaña ventas HotBoat",2025-06-05,132,135,1.02272727,CLP,199,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.48148148,99.5,1474.07407407,,,32,23,18,11,7,7,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-05,42,42,1,CLP,73,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,2.38095238,73,1738.0952381,,,15,1,,,,,2025-01-01,2025-06-11
"Test Publicos : Temuco","Video parejas amor","campaña ventas HotBoat",2025-06-05,328,372,1.13414634,CLP,593,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,1.88172043,84.71428571,1594.08602151,,,140,24,9,4,4,3,2025-01-01,2025-06-11
"publico advantage","Video explicando servicio corto","campaña ventas HotBoat",2025-06-05,433,467,1.07852194,CLP,806,"7 días tras clic o 1 día tras visualización",16,5.99571734,28.78571429,1725.91006424,,,154,114,88,59,27,22,2025-01-01,2025-06-11
"publico advantage","Video parejas amor","campaña ventas HotBoat",2025-06-05,24,26,1.08333333,CLP,40,"7 días tras clic o 1 día tras visualización",1,11.53846154,13.33333333,1538.46153846,,,11,3,1,1,1,,2025-01-01,2025-06-11
"publico advantage","Video parejas dcto","campaña ventas HotBoat",2025-06-05,84,84,1,CLP,158,"7 días tras clic o 1 día tras visualización",2,5.95238095,31.6,1880.95238095,,,37,3,1,,,,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto","campaña ventas HotBoat",2025-06-05,73,75,1.02739726,CLP,120,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",1,1.33333333,120,1600,,,24,17,13,10,4,3,2025-01-01,2025-06-11
"publico concepcion","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-05,436,443,1.01605505,CLP,689,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",4,3.16027088,49.21428571,1555.30474041,,,193,25,7,5,5,2,2025-01-01,2025-06-11
"publico concepcion","Video parejas amor","campaña ventas HotBoat",2025-06-05,18,18,1,CLP,39,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,2166.66666667,,,7,,,,,,2025-01-01,2025-06-11
"publico pucon 1","Video explicando servicio corto","campaña ventas HotBoat",2025-06-05,115,123,1.06956522,CLP,201,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",2,3.25203252,50.25,1634.14634146,,,32,29,20,13,4,3,2025-01-01,2025-06-11
"publico pucon 1","Video parejas amor","campaña ventas HotBoat",2025-06-05,557,596,1.07001795,CLP,927,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",8,3.52348993,44.14285714,1555.36912752,,,201,25,7,5,5,4,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto","campaña ventas HotBoat",2025-06-05,100,102,1.02,CLP,134,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",3,4.90196078,26.8,1313.7254902,,,39,28,20,16,8,8,2025-01-01,2025-06-11
"publico valdivia","Video explicando servicio corto - Copia","campaña ventas HotBoat",2025-06-05,453,473,1.04415011,CLP,690,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",5,2.53699789,57.5,1458.77378436,,,174,17,8,7,3,2,2025-01-01,2025-06-11
"publico valdivia","Video parejas amor","campaña ventas HotBoat",2025-06-05,1,1,1,CLP,3,"7 días tras clic, 1 día tras visualización o 1 día tras visualización activa",,,,3000,,,1,,,,,,2025-01-01,2025-06-11
